score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.182;1;2.52;33889;105990;"Bonglab Bong Glycerin Thicc 36cm - Rosado";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-glycerin-thicc-mint-36cm?variant=Rosado"
0.182;1;1.62;34420;25990;"BongLab Bong X5 Pocket Bell 17cm - Verde";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-x5-pocket-bell-17cm?variant=Verde"
0.182;1;7.91;34738;54990;"Calvo Glass Bong Beaker Premium 45cm - Naranja";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-bong-beaker-lite-45cm?variant=Naranja"
0.181;1;1.73;1529;11992;"Calvo Glass Pipa Twist Spoon 11cm";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-pipa-twist-spoon-11cm"
0.181;1;5.03;35001;34990;"Calvo Glass Bong Esencial 22cm - Rosado";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-bong-shower-23cm?variant=Rosado"
0.181;1;2.69;34957;23990;"BongLab Bong R2 Tiny 18cm - Amarillo";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-r2-18cm-tinybong?variant=Amarillo"
0.181;1;1.33;35485;55990;"Bonglab Bong KD1 Classy 29cm - Negro";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-kd1?variant=Negro"
0.180;1;1.08;35281;59990;"BongLab Bong K18 HeadShot 40cm - Azul";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-k18-headshot?variant=Azul"
0.180;1;1.62;34068;67990;"Bonglab Bong K276 Bongbastic 45cm - Turquesa";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bongbastic-k276?variant=Turquesa"
0.180;1;1.33;35484;55990;"Bonglab Bong KD1 Classy 29cm - Verde";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-kd1?variant=Verde"
0.180;1;2.58;33945;24990;"BongLab Bong R3 Mini 10.5cm - Azul";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-r3-mini-105cm?variant=Azul"
0.180;1;1.33;35486;55990;"Bonglab Bong KD1 Classy 29cm - Azul";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-kd1?variant=Azul"
0.180;1;1.55;34950;64990;"Bonglab Bong Fresh K30 42cm - Turquesa";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-k30-black-42cm?variant=Turquesa"
0.180;1;1.68;33947;24990;"BongLab Bong R3 Mini 10.5cm - Turquesa";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-r3-mini-105cm?variant=Turquesa"
0.179;1;1.14;1223;6081;"Calvo Glass Moledor Metálico 1 Piso 50mm";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-moledor-metalico-1-piso-50mm"
0.179;1;1.68;33949;24990;"BongLab Bong R3 Mini 10.5cm - Transparente";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-r3-mini-105cm?variant=Transparente"
0.179;1;1.80;19623;990;"Encendedor Clipper Fruit Strains";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-fruit-strains"
0.179;1;12.71;19292;6990;"Encendedor Clipper Metálico Classic Cars";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-metalico-clasicc-cars"
0.179;1;1.01;34951;64990;"Bonglab Bong Fresh K30 42cm - Morado";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-k30-black-42cm?variant=Morado"
0.179;1;1.83;34673;22990;"Bonglab Bong KS11 Classic Ice 26cm - Verde";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-ks11-classic-ice-26cm?variant=Verde"
0.179;1;1.62;34678;25990;"Bonglab Bong X2 Color Cube 23cm - Rosado";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-x2-colo-cube-23cm?variant=Rosado"
0.178;1;5.75;34787;39990;"Calvo G l a s s Bong Space Horn Rig 21cm - Azul";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo azul";"https://fumetas.cl/calvo-glass-space-horn-rig-23cm?variant=Azul"
0.178;1;1.80;19718;990;"Encendedor Clipper Unicorn Sings";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-unicorn-sings"
