score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.388;1;120.24;11087;4990;"Volcano Hybrid Air Filter Set";5745;2;599990;"Volcano Hybrid Onyx Edition-Storz & Bickel";"volcano hybrid";"https://piranha.cl/inicio/1680/volcano-hybrid-air-filter-set.html"
0.388;1;1.47;10784;4990;"Biodegradable Hemp Grinder Cáñamo";5498;3;3400;"Galaxy Moledor Biodegradable | Grinder ecológico resistente";"biodegradable grinder";"https://piranha.cl/inicio/6105/moledor-biodegradable-hemp-canamo-2-partes-color-a-eleccion.html"
0.384;1;1.67;16103;17991;"Crafty/Crafty+ Estuche Rígido| PIRANHA";10502;2;29990;"Storz & Bickel Estuche Crafty Case";"crafty estuche";"https://piranha.cl/inicio/7817/craftycrafty-estuche-rigido.html"
0.378;1;6.32;11107;94991;"Volcano Hybrid Cámara de Hierbas| PIRANHA";5745;2;599990;"Volcano Hybrid Onyx Edition-Storz & Bickel";"volcano hybrid";"https://piranha.cl/inicio/7825/volcano-hybrid-camara-de-hierbas.html"
0.375;1;0.00;15815;69591;"Mochila Anti Olor Blazy Susan Clásica Pink | PIRANHA";10184;2;0;"Blazy Susan Deluxe Rolling Kit Pink 1 1/4";"blazy susan pink";"https://piranha.cl/inicio/7443/mochila-anti-olor-blazy-susan-clasica-pink.html"
0.372;1;10.00;15961;19992;"Bandeja Tyson x Futurola Metal Rolling Tray Large | PIRANHA";11029;2;2000;"Futurola x Mike Tyson 1 1/4 + Tips";"tyson futurola";"https://piranha.cl/inicio/7162/bandeja-tyson-x-futurola-metal-rolling-tray-large.html"
0.369;1;0.00;509;2451;"Kit Encendedor Clipper x Piranha";10480;2;0;"Encendedor Clipper Metálico Deep Blue";"encendedor clipper";"https://piranha.cl/inicio/5855/kit-encendedor-clipper-x-piranha.html"
0.368;1;1.84;53238;139992;"Bandeja de Cultivo Kasvi | PIRANHA";10787;2;75990;"Humidificador Kasvi 8L";"cultivo kasvi";"https://piranha.cl/inicio/8530/bandeja-de-cultivo-kasvi-122x244cm.html"
0.368;1;1.05;53237;79992;"Bandeja de Cultivo Kasvi| PIRANHA";10787;2;75990;"Humidificador Kasvi 8L";"cultivo kasvi";"https://piranha.cl/inicio/8529/bandeja-de-cultivo-kasvi-122x129cm.html"
0.366;1;7.48;15960;14951;"Bandeja Tyson x Futurola Metal Rolling Tray Medium | PIRANHA";11029;2;2000;"Futurola x Mike Tyson 1 1/4 + Tips";"tyson futurola";"https://piranha.cl/inicio/7161/bandeja-tyson-x-futurola-metal-rolling-tray-medium.html"
