sim,category,brandKeyA,brandKeyB,idA,storeA,priceA,titleA,imgA,idB,storeB,priceB,titleB,imgB,priceRatio
0.44,Otros parafernalia,pulsar,,35774,"Fumetas",17990,"Pulsar Bateria Cartridges 510 Payout 3.0 - Negro","https://cdnx.jumpseller.com/fumetas-store/image/61488699/Pulsar-Bateria-510-Payout-30-Negro.jpg?1742322381",88360,"Friendly Grow",14990,"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Negro","https://cdnx.jumpseller.com/friendly-grow/image/69166465/et500_20black-Photoroom.jpg?1768283597",1.20
0.44,Otros parafernalia,pulsar,,35924,"Fumetas",13990,"Pulsar Bateria Cartridges 510 Square - Negro","https://cdnx.jumpseller.com/fumetas-store/image/61477377/Vaporizador-Bateria-510-Cartridge-Square-Negro.jpg?1743438421",88360,"Friendly Grow",14990,"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Negro","https://cdnx.jumpseller.com/friendly-grow/image/69166465/et500_20black-Photoroom.jpg?1768283597",1.07
0.44,Otros parafernalia,pulsar,,37450,"Fumetas",31990,"Pulsar Batería Cartridges 510 DL 5.0 - Negro","https://cdnx.jumpseller.com/fumetas-store/image/61469760/Pulsar-510-DL-50-Cartridges-Negro-2.webp?1779311938",88360,"Friendly Grow",14990,"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Negro","https://cdnx.jumpseller.com/friendly-grow/image/69166465/et500_20black-Photoroom.jpg?1768283597",2.13
0.43,Accesorios de extraccion,,,3142,"GrowBarato Chile",21000,"Nectar Collector Bong de Silicona con quemador de vidrio","https://www.growbaratochile.cl/5358-large_default/nectar-collector-bong-de-silicona.jpg",87648,"Friendly Grow",15990,"Nectar Collector de Silicona Planta Cartoon","https://cdnx.jumpseller.com/friendly-grow/image/74508098/SNC-23.png?1773243012",1.31
0.43,Pipas,gb-the-green-brand,,3198,"GrowBarato Chile",5100,"Pipa Silicona Venon | Portátil y resistente","https://www.growbaratochile.cl/8801-large_default/pipa-silicona-venom.jpg",88255,"Friendly Grow",10990,"🦄 Bong de Silicona Unicornio Resistente, portátil y con estilo - Rosa","https://cdnx.jumpseller.com/friendly-grow/image/75850536/YDS0116_285_29.jpg?1776369750",2.15
0.43,Pipas,gb-the-green-brand,,3198,"GrowBarato Chile",5100,"Pipa Silicona Venon | Portátil y resistente","https://www.growbaratochile.cl/8801-large_default/pipa-silicona-venom.jpg",88256,"Friendly Grow",10990,"🦄 Bong de Silicona Unicornio Resistente, portátil y con estilo - Blanco","https://cdnx.jumpseller.com/friendly-grow/image/75850532/YDS0116_283_29.jpg?1776369750",2.15
0.43,Pipas,gb-the-green-brand,,3198,"GrowBarato Chile",5100,"Pipa Silicona Venon | Portátil y resistente","https://www.growbaratochile.cl/8801-large_default/pipa-silicona-venom.jpg",88258,"Friendly Grow",10990,"🦄 Bong de Silicona Unicornio Resistente, portátil y con estilo - Morado","https://cdnx.jumpseller.com/friendly-grow/image/75850531/YDS0116_284_29.jpg?1776369750",2.15
0.43,Pipas,gb-the-green-brand,,3198,"GrowBarato Chile",5100,"Pipa Silicona Venon | Portátil y resistente","https://www.growbaratochile.cl/8801-large_default/pipa-silicona-venom.jpg",88260,"Friendly Grow",10990,"🦄 Bong de Silicona Unicornio Resistente, portátil y con estilo - Azul","https://cdnx.jumpseller.com/friendly-grow/image/75850537/YDS0116_282_29.jpg?1776369750",2.15
0.43,Accesorios de extraccion,,bonglab,87500,"Friendly Grow",7990,"Nectar Collector Donut 🍩 - Verde","https://cdnx.jumpseller.com/friendly-grow/image/74516671/SP-124.png?1773252832",31323,"Astro Growshop",19990,"Nectar Collector Torp 18Cm-Bonglab - verde","https://cdnx.jumpseller.com/astrogrowshop/image/72502738/4.webp?1769714360",2.50
0.43,Repuestos para bongs y vaporizadores,,,13424,"Fumetas",5990,"Quemador Silicona 14 - 18mm Bowl Pyrex","https://cdnx.jumpseller.com/fumetas-store/image/31069255/Quemador-silicona-14mm-18mm-Black-White.jpg?1674248444",87872,"Friendly Grow",10990,"Bong de Silicona Dinosaurio con Bowl de Pyrex","https://cdnx.jumpseller.com/friendly-grow/image/74507330/SB-356-2.png?1773242151",1.83
0.40,Accesorios de extraccion,yocan,yocan,87520,"Friendly Grow",24990,"Bateria Hot Knife Dabber Electrico Yocan Dirk - Negro","https://cdnx.jumpseller.com/friendly-grow/image/73164636/1.jpg?1770835354",33065,"Astro Growshop",32990,"HOT KNIFE EXTRACTOS DIRK YOCAN - azul","https://cdnx.jumpseller.com/astrogrowshop/image/73160989/VAPORIZADOR_YOCAN_DIRK_BLUE_FRONT.webp?1770741220",1.32
0.40,Accesorios de extraccion,yocan,yocan,88890,"Friendly Grow",180000,"Vaporizador Extracciones E-rig Yocan Go - Negro","https://cdnx.jumpseller.com/friendly-grow/image/73164737/GO_E9_BB_91_E8_89_B2.jpg?1774537122",36608,"Fumetas",69990,"Yocan Vaporizador Vane - Negro","https://cdnx.jumpseller.com/fumetas-store/image/16953532/Vane-Black.jpg?1696523125",2.57
0.40,Accesorios de extraccion,yocan,yocan,88906,"Friendly Grow",46990,"Vaporizador Extracciones E-Rig Yocan iCan - Negro","https://cdnx.jumpseller.com/friendly-grow/image/73164859/1.jpg?1770750354",36608,"Fumetas",69990,"Yocan Vaporizador Vane - Negro","https://cdnx.jumpseller.com/fumetas-store/image/16953532/Vane-Black.jpg?1696523125",1.49
0.40,Accesorios de extraccion,yocan,yocan,88904,"Friendly Grow",46990,"Vaporizador Extracciones E-Rig Yocan iCan - Celeste","https://cdnx.jumpseller.com/friendly-grow/image/73164864/5.jpg?1770750354",36612,"Fumetas",69990,"Yocan Vaporizador Vane - Celeste","https://cdnx.jumpseller.com/fumetas-store/image/16953535/Vane-Sky_Blue.jpg?1696523125",1.49
0.40,Bongs,bonglab,,12347,"Astro Growshop",7990,"Boquilla Higienica Silicona Para Bong Verde-Bonglab","https://cdnx.jumpseller.com/astrogrowshop/image/70177604/imagen_1_26859.webp?1764185798",88279,"Friendly Grow",3900,"Pipa de Silicona Monster - Verde","https://cdnx.jumpseller.com/friendly-grow/image/74447249/5.jpg?1773155662",2.05
0.40,Bongs,bonglab,,12347,"Astro Growshop",7990,"Boquilla Higienica Silicona Para Bong Verde-Bonglab","https://cdnx.jumpseller.com/astrogrowshop/image/70177604/imagen_1_26859.webp?1764185798",88493,"Friendly Grow",5990,"Pipa SIlicona Ornitorrinco - Verde","https://cdnx.jumpseller.com/friendly-grow/image/74517459/SP-239.png?1773253765",1.33
0.40,Bongs,bonglab,,12347,"Astro Growshop",7990,"Boquilla Higienica Silicona Para Bong Verde-Bonglab","https://cdnx.jumpseller.com/astrogrowshop/image/70177604/imagen_1_26859.webp?1764185798",88475,"Friendly Grow",4990,"Pipa Silicona Keny - Verde","https://cdnx.jumpseller.com/friendly-grow/image/74518033/SP-329.png?1773254558",1.60
0.40,Bongs,bonglab,,12347,"Astro Growshop",7990,"Boquilla Higienica Silicona Para Bong Verde-Bonglab","https://cdnx.jumpseller.com/astrogrowshop/image/70177604/imagen_1_26859.webp?1764185798",88502,"Friendly Grow",4990,"Pipa Silicona Sólida - Verde","https://cdnx.jumpseller.com/friendly-grow/image/74516858/SP-171.png?1773253079",1.60
0.40,Bongs,bonglab,,12347,"Astro Growshop",7990,"Boquilla Higienica Silicona Para Bong Verde-Bonglab","https://cdnx.jumpseller.com/astrogrowshop/image/70177604/imagen_1_26859.webp?1764185798",88459,"Friendly Grow",3990,"Pipa Silicona Clásica - Verde","https://cdnx.jumpseller.com/friendly-grow/image/75204640/5.png?1774556793",2.00
0.40,Bongs,bonglab,,12347,"Astro Growshop",7990,"Boquilla Higienica Silicona Para Bong Verde-Bonglab","https://cdnx.jumpseller.com/astrogrowshop/image/70177604/imagen_1_26859.webp?1764185798",88468,"Friendly Grow",5900,"Pipa SIlicona Fantasmita - Verde","https://cdnx.jumpseller.com/friendly-grow/image/74517132/SP-206.png?1773253384",1.35
0.40,Contenedores y estuches,,,36752,"Fumetas",2490,"Contenedor Lego de silicona - Azul/Naranjo","https://cdnx.jumpseller.com/fumetas-store/image/13905024/Lego_azul-aranjo.jpg?1609802590",88466,"Friendly Grow",5900,"Pipa SIlicona Fantasmita - Naranjo","https://cdnx.jumpseller.com/friendly-grow/image/74517132/SP-206.png?1773253384",2.37
0.40,Contenedores y estuches,,,36752,"Fumetas",2490,"Contenedor Lego de silicona - Azul/Naranjo","https://cdnx.jumpseller.com/fumetas-store/image/13905024/Lego_azul-aranjo.jpg?1609802590",88473,"Friendly Grow",4990,"Pipa Silicona Keny - Naranjo","https://cdnx.jumpseller.com/friendly-grow/image/74518033/SP-329.png?1773254558",2.00
0.40,Contenedores y estuches,,,36752,"Fumetas",2490,"Contenedor Lego de silicona - Azul/Naranjo","https://cdnx.jumpseller.com/fumetas-store/image/13905024/Lego_azul-aranjo.jpg?1609802590",88491,"Friendly Grow",5990,"Pipa SIlicona Ornitorrinco - Azul","https://cdnx.jumpseller.com/friendly-grow/image/74517459/SP-239.png?1773253765",2.41
0.40,Contenedores y estuches,,,36752,"Fumetas",2490,"Contenedor Lego de silicona - Azul/Naranjo","https://cdnx.jumpseller.com/fumetas-store/image/13905024/Lego_azul-aranjo.jpg?1609802590",88458,"Friendly Grow",3990,"Pipa Silicona Clásica - Azul","https://cdnx.jumpseller.com/friendly-grow/image/75204639/1.png?1774556793",1.60
0.40,Pipas,,,88302,"Friendly Grow",5990,"Pipa SIlicona Alien Cartoon - Verde","https://cdnx.jumpseller.com/friendly-grow/image/74517555/SP-256.png?1773253914",37495,"Fumetas",15990,"Taza Pipa Alien - Verde","https://cdnx.jumpseller.com/fumetas-store/image/19027346/SAVE_20210111_115538-02-01-02.jpg?1655503477",2.67
0.40,Pipas,,,87618,"Friendly Grow",5990,"Pipa de Silicona Alien 3 Eyes - Verde","https://cdnx.jumpseller.com/friendly-grow/image/75850304/YDS0105_20_283_29.jpg?1776369414",37495,"Fumetas",15990,"Taza Pipa Alien - Verde","https://cdnx.jumpseller.com/fumetas-store/image/19027346/SAVE_20210111_115538-02-01-02.jpg?1655503477",2.67
0.40,Pipas,,,88332,"Friendly Grow",4990,"Pipa SIlicona Darth Vader","https://cdnx.jumpseller.com/friendly-grow/image/74518183/SP-355.png?1773254728",4651,"Fumetas",6990,"Moledor Darth Vader 40 MM","https://cdnx.jumpseller.com/fumetas-store/image/5674600/Moledor_Darth_Vader.jpg?1606838630",1.40
0.40,Accesorios de extraccion,yocan,yocan,20199,"Fumetas",9990,"Yocan Falcone QTC Coil","https://cdnx.jumpseller.com/fumetas-store/image/16861426/Falcon-QTC_Coil.jpg?1656964703",88037,"Friendly Grow",11490,"Yocan QBC Coil","https://cdnx.jumpseller.com/friendly-grow/image/73230456/YOCAN_ICAN_QBC_COIL.jpg?1770909519",1.15
0.40,Accesorios de extraccion,yocan,yocan,20199,"Fumetas",9990,"Yocan Falcone QTC Coil","https://cdnx.jumpseller.com/fumetas-store/image/16861426/Falcon-QTC_Coil.jpg?1656964703",88839,"Friendly Grow",17990,"Yocan Cloud 2 Coil","https://cdnx.jumpseller.com/friendly-grow/image/73165235/YXK-C-029-_E5_89_8D.png?1770751800",1.80
0.40,Accesorios de extraccion,yocan,yocan,20200,"Fumetas",9990,"Yocan Falcone XTAL Coil","https://cdnx.jumpseller.com/fumetas-store/image/16861568/Falcon-XTAL_Coil.jpg?1656964698",88037,"Friendly Grow",11490,"Yocan QBC Coil","https://cdnx.jumpseller.com/friendly-grow/image/73230456/YOCAN_ICAN_QBC_COIL.jpg?1770909519",1.15
0.40,Accesorios de extraccion,yocan,yocan,20200,"Fumetas",9990,"Yocan Falcone XTAL Coil","https://cdnx.jumpseller.com/fumetas-store/image/16861568/Falcon-XTAL_Coil.jpg?1656964698",88839,"Friendly Grow",17990,"Yocan Cloud 2 Coil","https://cdnx.jumpseller.com/friendly-grow/image/73165235/YXK-C-029-_E5_89_8D.png?1770751800",1.80
0.40,Accesorios de extraccion,yocan,yocan,20197,"Fumetas",11990,"Yocan Dyno Repuesto Coil","https://cdnx.jumpseller.com/fumetas-store/image/63947138/yocan-dyno-coil-fumetas-store.jpg?1748571313",88037,"Friendly Grow",11490,"Yocan QBC Coil","https://cdnx.jumpseller.com/friendly-grow/image/73230456/YOCAN_ICAN_QBC_COIL.jpg?1770909519",1.04
0.40,Accesorios de extraccion,yocan,yocan,20197,"Fumetas",11990,"Yocan Dyno Repuesto Coil","https://cdnx.jumpseller.com/fumetas-store/image/63947138/yocan-dyno-coil-fumetas-store.jpg?1748571313",88839,"Friendly Grow",17990,"Yocan Cloud 2 Coil","https://cdnx.jumpseller.com/friendly-grow/image/73165235/YXK-C-029-_E5_89_8D.png?1770751800",1.50
0.40,Pipas,,blazy-susan,88472,"Friendly Grow",4990,"Pipa Silicona Keny - Rosa","https://cdnx.jumpseller.com/friendly-grow/image/74518033/SP-329.png?1773254558",32488,"Astro Growshop",12990,"Cenicero De Silicona -Blazy Susan - Rosa","https://cdnx.jumpseller.com/astrogrowshop/image/72470802/imagen_1_21250.webp?1769629685",2.60
0.40,Accesorios de extraccion,yocan,yocan,88893,"Friendly Grow",180000,"Vaporizador Extracciones E-rig Yocan Go - Azul","https://cdnx.jumpseller.com/friendly-grow/image/73164746/GO_E8_93_9D_E8_89_B2.jpg?1774537122",31425,"Astro Growshop",65990,"VAPORIZADOR YOCAN HIT 2 - azul","https://cdnx.jumpseller.com/astrogrowshop/image/73159960/VAPORIZADOR_HIT_2_BLUEe.webp?1770739279",2.73
