productId,name,category,brandKey,existingStores,missingStore,candidateCount,bestScore,bestTitle,bestUrl,bestPrice,existingOffers,productUrl
5479,"Papelillos OCB X-Pert 1 1/4",Papelillos,ocb,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,10,0.64,"Papelillo Virgin 1 1/4 1U-Ocb","https://astrogrowshop.cl/papelillo-virgin-1-14-1u-ocb",790,[Fumetas] $850 Papelillos OCB X-Pert 1 1/4 || [GrowBarato Chile] $900 OCB X-Pert 1 1/4 papel de fumar ultrafin || [Piranha] $990 Papelillo OCB Xpert 1 ¼,"/productos/ocb/x-pert"
5464,"Papelillo RAW Classic Black 1 1/4 | PIRANHA",Papelillos,raw,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,7,1.17,"RAW Classic 1.1/4 producto de la marca RAW","https://www.growbaratochile.cl/papelillos/raw-classic-114.html",800,[Piranha] $990 Papelillo RAW Classic Black 1 1/4 | PIRA || [Astro Growshop] $1090 Papelillos Black 1 1/4 1 Ud-Raw || [Fumetas] $1190 Papelillos RAW Black 1 1/4 || [Fumetas] $1350 Papelillos Raw Black Connoisseur 1 1/4 +,"/productos/raw/black"
5465,"Papelillos RAW Black Organic Hemp 1 1/4",Papelillos,raw,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,7,0,"RAW Classic 1.1/4 producto de la marca RAW","https://www.growbaratochile.cl/papelillos/raw-classic-114.html",800,[Piranha] $990 Papelillo RAW Black Organic Hemp 1 1/4 | || [Fumetas] $990 Papelillos RAW Black Organic Hemp 1 1/4 || [Astro Growshop] $1190 Papelillos Black Organic Hemp 1 1/4 1 Ud,"/productos/raw/black-organic-hemp"
5418,"Papelillos RAW Classic King Size Slim - Sabanas",Papelillos,raw,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,10,0,"Papelillos Classic 1 1/4 1 Ud-Raw","https://astrogrowshop.cl/papelillos-classic-1-14-1-ud-raw",990,[Fumetas] $990 Papelillos RAW Classic King Size Slim -  || [GrowBarato Chile] $1200 RAW King Size Slim, papel de fumar || [Piranha] $1290 Papelillos RAW Classic King Size Slim | ,"/productos/raw/classic-king-size-slim"
5480,"Papelillos RAW Supernatural Super King Size 30cm | PIRANHA",Papelillos,raw,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,10,0,"Papelillos Classic 1 1/4 1 Ud-Raw","https://astrogrowshop.cl/papelillos-classic-1-14-1-ud-raw",990,[Piranha] $4490 Papelillos RAW Supernatural Super King S || [GrowBarato Chile] $4500 Papelillos Largos RAW Super King Size 30 || [Fumetas] $5190 Papelillos RAW Super King 30cm,"/productos/raw/super-king-30cm"
5484,"Pipa Calvo Glass Wig wag Hammer 13 cm vidrio premium en Black, Orange & White",Pipas,calvo,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,1,0,"Pipa Calvo Horn Pipe 10cm | PIRANHA","https://piranha.cl/inicio/8050/pipa-calvo-horn-pipe-10cm-color-aleatorio.html",10943,[Fumetas] $21741 Calvo Glass Pipa Hammer WigWag 13cm || [GrowBarato Chile] $26900 Pipa Calvo Glass Wig wag Hammer 13 cm vi || [Astro Growshop] $29990 Wig Wag Hammer Pipe Color Orange-Calvo G || [Astro Growshop] $29990 Wig Wag Hammer Pipe-Calvo Glass,"/productos/calvo/wig-wag-hammer"
5749,"Quemador Bowl Chico Hembra 14Mm - Bonglab",Repuestos para bongs y vaporizadores,bonglab,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,4,0,"Difusor 14mm 12cm Bonglab | Repuesto de vidrio para bongs","https://www.growbaratochile.cl/parafernalia/difusor-14mm-12cm-bonglab.html",3200,[Piranha] $4990 Quemador Bowl Chico Hembra Bonglab 14mm  || [Astro Growshop] $4990 Quemador Bowl Chico Hembra 14Mm - Bongla || [Fumetas] $4990 Bonglab Quemador Macho 14mm Clear || [Astro Growshop] $6990 Quemador Bowl Chico Hembra 14 Mm -Bongla,"/productos/bonglab/bowl-bowl-14mm"
5751,"Calvo Glass Quemador Pyrex - Macho 14mm",Repuestos para bongs y vaporizadores,calvo,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,1,0,"Quemador Perlas Macho 18Mm-Calvo Glass","https://astrogrowshop.cl/quemador-perlas-18mm-calvo-glass",6990,[Fumetas] $3490 Calvo Glass Quemador Pyrex - Macho 14mm || [GrowBarato Chile] $5400 Quemador Calvo Glass 14mm Cuerno | Bowl  || [Piranha] $5990 Quemador Macho 14mm,"/productos/calvo/bowl-14mm"
5748,"Quemador Perla 18mm Calvo Glass - GB The Green Brand",Repuestos para bongs y vaporizadores,calvo,"Astro Growshop | Piranha | GrowBarato Chile",Fumetas,5,0,"Calvo Glass Quemador Pyrex - Macho 14mm","https://fumetas.cl/calvo-glass-quemador-pyrex-macho-14mm",3490,[GrowBarato Chile] $6200 Quemador Perla 18mm Calvo Glass - GB The || [Astro Growshop] $6990 Quemador Perlas Macho 18Mm-Calvo Glass || [Piranha] $6990 Quemador Perlas Calvo 18mm,"/productos/calvo/bowl-perlas-18mm"
5737,"Vaporizador Mecánico Dynavap M7",Vaporizadores herbales,dynavap,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,3,0,"Vaporizador DynaVap The M7 | Vaporizador Herbal sin Batería – GrowBaratoChile","https://www.growbaratochile.cl/vaporizadores/vaporizador-dynavap-the-m7.html",102800,[Fumetas] $89990 Vaporizador Mecánico Dynavap M7 || [Astro Growshop] $94490 Vaporizador The New M7-Dynavap || [Piranha] $94491 Vaporizador DynaVap New The M 7 | PIRANH,"/productos/dynavap/m7"
5796,"Vaporizador Volcano Classi",Vaporizadores herbales,storz-bickel,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,21,0.63,"Bolsa Volcano 3 Metros-Storz &amp; Bickel","https://astrogrowshop.cl/bolsa-volcano-3-metros-storz-bickel",6990,[Piranha] $339992 Vaporizador Volcano Classi || [GrowBarato Chile] $396000 Volcano Classic y Digital Vaporizador || [Fumetas] $499990 Vaporizador Volcano Classic Gold 24K,"/productos/storz-bickel/volcano-classic"
5738,"Volcano Hybrid Storz & Bickel - GB The Green Brand",Vaporizadores herbales,storz-bickel,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,1,0,"Veazy Storz & Bickel | PIRANHA","https://piranha.cl/inicio/8506/vaporizador-veazy.html",265991,[GrowBarato Chile] $540000 Volcano Hybrid Storz & Bickel - GB The G || [Astro Growshop] $569990 Volcano Hybrid-Storz &amp; Bickel || [Fumetas] $599990 Vaporizador Volcano Hybrid,"/productos/storz-bickel/volcano-hybrid"
5745,"Volcano Hybrid Onyx Edition-Storz &amp; Bickel",Vaporizadores herbales,storz-bickel,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,1,0,"Veazy Storz & Bickel | PIRANHA","https://piranha.cl/inicio/8506/vaporizador-veazy.html",265991,[GrowBarato Chile] $396000 Vaporizador Volcano Classic Onyx de Stor || [Astro Growshop] $569990 Volcano Hybrid Onyx Edition-Storz &amp;  || [Fumetas] $599990 Vaporizador Volcano Hybrid Onyx,"/productos/storz-bickel/volcano-hybrid-onyx"
