sim,category,brandKeyA,brandKeyB,idA,storeA,priceA,titleA,imgA,idB,storeB,priceB,titleB,imgB,priceRatio
0.43,Conos y blunts,blazy-susan,blazy-susan,32183,Astro Growshop,29990,CONOS PRE ROLL KING SIZE JAR 50U-BLAZY SUSAN - Morado,https://cdnx.jumpseller.com/astrogrowshop/image/75999618/imagen_1_22688.webp?1776874590,33920,Fumetas,29990,Blazy Susan Conos Pre-enrolados King Size 50 uds. - Lila,https://cdnx.jumpseller.com/fumetas-store/image/49705375/50-Conos-Pre-enrolados-King-Size-Purple-Blazy-Susan.jpg?1725401467,1.00
0.43,Conos y blunts,blazy-susan,blazy-susan,32184,Astro Growshop,29990,CONOS PRE ROLL KING SIZE JAR 50U-BLAZY SUSAN - UNBLEACHED,https://cdnx.jumpseller.com/astrogrowshop/image/75999620/imagen_1_22687.webp?1776874590,33919,Fumetas,29990,Blazy Susan Conos Pre-enrolados King Size 50 uds. - Rosado,https://cdnx.jumpseller.com/fumetas-store/image/49705374/50-Conos-Pre-enrolados-King-Size-Pink-Blazy-Susan.jpg?1725401467,1.00
0.43,Conos y blunts,blazy-susan,blazy-susan,32184,Astro Growshop,29990,CONOS PRE ROLL KING SIZE JAR 50U-BLAZY SUSAN - UNBLEACHED,https://cdnx.jumpseller.com/astrogrowshop/image/75999620/imagen_1_22687.webp?1776874590,33920,Fumetas,29990,Blazy Susan Conos Pre-enrolados King Size 50 uds. - Lila,https://cdnx.jumpseller.com/fumetas-store/image/49705375/50-Conos-Pre-enrolados-King-Size-Purple-Blazy-Susan.jpg?1725401467,1.00
0.43,Bongs,calvo,calvo,32562,Astro Growshop,65990,Rig Con Percolador De Arbol -Calvo Glass - Naranjo,https://cdnx.jumpseller.com/astrogrowshop/image/72468120/imagen_1_26104.webp?1769629284,35027,Fumetas,56541,Calvo Glass Rig Hongo 22cm - Naranjo,https://cdnx.jumpseller.com/fumetas-store/image/42625740/CG-RIG-HONGO-ORANGE.webp?1715116380,1.17
0.43,Bongs,calvo,calvo,32789,Astro Growshop,42990,Rig Four Horn-Calvo Glass - Morado,https://cdnx.jumpseller.com/astrogrowshop/image/74869329/imagen_1_28741.webp?1773937882,34788,Fumetas,35991,Calvo G l a s s Bong Space Horn Rig 21cm - Morado,https://cdnx.jumpseller.com/fumetas-store/image/76908633/Calvo-Glass-Bong-Space-Horn-Morado-2.jpg?1779488888,1.19
0.43,Bongs,bonglab,bonglab,32959,Astro Growshop,65990,Double Shot -Bonglab - ESMERALD,https://cdnx.jumpseller.com/astrogrowshop/image/74869240/imagen_1_27921.webp?1782150078,34653,Fumetas,69990,BongLab Bong K14 Double Shot 42cm - Turquesa,https://cdnx.jumpseller.com/fumetas-store/image/34418568/Bong-K14-Double-Shot-Teal.webp?1682356705,1.06
0.42,Conos y blunts,g-rollz,g-rollz,31459,Astro Growshop,2490,Blunt Hemp Wrap X4 Sabor a Elección- G-Rollz - Blueberry,https://cdnx.jumpseller.com/astrogrowshop/image/74136037/PR1516F-DIS-2.jpg?1772560670,34074,Fumetas,1990,G-Rollz Blunt Hemp Wrap x4 - Slow Burning - Tropical Twist,https://cdnx.jumpseller.com/fumetas-store/image/44338982/G-Rollz-Blunt-Tropical-Twist.webp?1719869549,1.25
0.42,Conos y blunts,g-rollz,g-rollz,31459,Astro Growshop,2490,Blunt Hemp Wrap X4 Sabor a Elección- G-Rollz - Blueberry,https://cdnx.jumpseller.com/astrogrowshop/image/74136037/PR1516F-DIS-2.jpg?1772560670,34075,Fumetas,1990,G-Rollz Blunt Hemp Wrap x4 - Slow Burning - Strawberry Pop,https://cdnx.jumpseller.com/fumetas-store/image/44338980/G-Rollz-Blunt-Strawberry-Pop.webp?1719869549,1.25
0.42,Conos y blunts,g-rollz,g-rollz,31459,Astro Growshop,2490,Blunt Hemp Wrap X4 Sabor a Elección- G-Rollz - Blueberry,https://cdnx.jumpseller.com/astrogrowshop/image/74136037/PR1516F-DIS-2.jpg?1772560670,34076,Fumetas,1990,G-Rollz Blunt Hemp Wrap x4 - Slow Burning - Flavor Fiesta,https://cdnx.jumpseller.com/fumetas-store/image/50259051/Blunt-Tutti-frutti-G-Rollz-x4.jpg?1719869549,1.25
0.40,Encendedores y sopletes,blazer,blazer,862,Piranha,89990,Encendedor HS x Blazer Big Shot Torch V3,https://piranha.cl/14746-thickbox_default/encendedor-hs-x-blazer-big-shot-torch-v3.jpg,19363,Fumetas,98990,Blazer - Big Shot Torch High Standards (Edición limitada),https://cdnx.jumpseller.com/fumetas-store/image/14564233/34222595_720x.png?1612907078,1.10
0.40,Moledores,the-bulldog,the-bulldog,4716,Astro Growshop,1990,Grinder Plastico Negro,https://cdnx.jumpseller.com/astrogrowshop/image/70527483/imagen_1_28999.webp?1765303357,33545,Fumetas,2490,Moledor plástico Bulldog 3 partes 60mm - Negro,https://cdnx.jumpseller.com/fumetas-store/image/13750276/Plastic-Grinder-Black-tr-1-1.jpg?1677296076,1.25
