sim,aId,aStore,aTitle,aPrice,aStock,aUrl,bId,bStore,bTitle,bPrice,bStock,bUrl,nota
97.5,31627,Astro Growshop,"Color Cube-Bonglab - azul",22990,true,"https://astrogrowshop.cl/color-cube-bonglab?variant=azul",34680,Fumetas,"Bonglab Bong X2 Color Cube 23cm - Azul",25990,true,"https://fumetas.cl/bonglab-bong-x2-colo-cube-23cm?variant=Azul","ambas huerfanas"
97.3,31670,Astro Growshop,"Little Buchner-Bonglab - azul",20990,true,"https://astrogrowshop.cl/little-buchner-bonglab?variant=azul",37484,Fumetas,"Bonglab Bong KS10 Little Buchner 25cm - Azul",22990,true,"https://fumetas.cl/smokeshop/bongs-y-pipas/bongs/bonglab-ks10-little-buchner?variant=Azul","ambas huerfanas"
96.7,31623,Astro Growshop,"Classic Ice 26Cm-Bonglab - verde",20990,true,"https://astrogrowshop.cl/classic-ice-bonglab?variant=verde",34673,Fumetas,"Bonglab Bong KS11 Classic Ice 26cm - Verde",22990,true,"https://fumetas.cl/bonglab-bong-ks11-classic-ice-26cm?variant=Verde","ambas huerfanas"
96.3,29040,Astro Growshop,"Moledor Plastico 3 Partes - Bulldog - Rosa",2490,false,"https://astrogrowshop.cl/moledor-plastico-3-partes-bulldog?variant=Rosa",33549,Fumetas,"Moledor plástico Bulldog 3 partes 60mm - Rosado",2490,true,"https://fumetas.cl/moledor-plastico-bulldog-3-partes?variant=Rosado","-> prod 10096 (3t)"
96.3,31672,Astro Growshop,"Little Buchner-Bonglab - Rosa",20990,true,"https://astrogrowshop.cl/little-buchner-bonglab?variant=Rosa",37482,Fumetas,"Bonglab Bong KS10 Little Buchner 25cm - Rosado",22990,true,"https://fumetas.cl/smokeshop/bongs-y-pipas/bongs/bonglab-ks10-little-buchner?variant=Rosado","ambas huerfanas"
96.3,31633,Astro Growshop,"Dream Rig-Bonglab - Rosa",24990,true,"https://astrogrowshop.cl/dream-rig-bonglab?variant=Rosa",34678,Fumetas,"Bonglab Bong X2 Color Cube 23cm - Rosado",25990,true,"https://fumetas.cl/bonglab-bong-x2-colo-cube-23cm?variant=Rosado","ambas huerfanas"
96.3,31669,Astro Growshop,"Little Buchner-Bonglab - Negro",20990,true,"https://astrogrowshop.cl/little-buchner-bonglab?variant=Negro",37483,Fumetas,"Bonglab Bong KS10 Little Buchner 25cm - Negro",22990,true,"https://fumetas.cl/smokeshop/bongs-y-pipas/bongs/bonglab-ks10-little-buchner?variant=Negro","ambas huerfanas"
96.2,31631,Astro Growshop,"Dream Rig-Bonglab - azul",24990,true,"https://astrogrowshop.cl/dream-rig-bonglab?variant=azul",34680,Fumetas,"Bonglab Bong X2 Color Cube 23cm - Azul",25990,true,"https://fumetas.cl/bonglab-bong-x2-colo-cube-23cm?variant=Azul","ambas huerfanas"
96.1,30967,Astro Growshop,"Ceramics Grinder -Galaxy - verde",32990,true,"https://astrogrowshop.cl/ceramics-grinder-galaxy?variant=verde",33559,Fumetas,"Moledor Galaxy Cerámico 60mm - Verde Medianoche",31990,true,"https://fumetas.cl/moledor-galaxy-ceramico-60mm?variant=Verde%20Medianoche","ambas huerfanas"
96,31704,Astro Growshop,"Pocket Bell -Bonglab - Negro",22990,true,"https://astrogrowshop.cl/pocket-bell-bonglab?variant=Negro",34421,Fumetas,"BongLab Bong X5 Pocket Bell 17cm - Ámbar",25990,true,"https://fumetas.cl/bonglab-bong-x5-pocket-bell-17cm?variant=%C3%81mbar","ambas huerfanas"
95.8,32567,Astro Growshop,"Soplete Monster Pro Doble Llama -Calvo Glass - azul",32990,true,"https://astrogrowshop.cl/soplete-monster-pro-doble-llama-calvo-glass?variant=azul",35651,Fumetas,"Special Blue Soplete Monster Pro Doble Llama - Toolbox - Rojo",34990,true,"https://fumetas.cl/special-blue-soplete-monster-pro-doble-llama-toolbox?variant=Rojo","ambas huerfanas"
95.8,32820,Astro Growshop,"Vaporizador Miqro C -Da Vinci - Rosa",129990,false,"https://astrogrowshop.cl/vaporizador-miqro-c-da-vinci?variant=Rosa",36261,Fumetas,"Vaporizador DaVinci Miqro C - Herbal - Rosado",129990,false,"https://fumetas.cl/da-vinci-miqro-vaporizador?variant=Rosado","ambas huerfanas"
95.8,32675,Astro Growshop,"CASE XL LOGO GRANDE NEGRO-OZETA",43990,true,"https://astrogrowshop.cl/case-xl-logo-grande-negro-ozeta",36118,Fumetas,"Ozeta Case XL - Anti-olor - Pequeño",43990,true,"https://fumetas.cl/ozeta-case-xl-anti-olor?variant=Peque%C3%B1o","-> prod 10391 (3t)"
95.8,31630,Astro Growshop,"Dream Rig-Bonglab - AMBAR",24990,true,"https://astrogrowshop.cl/dream-rig-bonglab?variant=AMBAR",34679,Fumetas,"Bonglab Bong X2 Color Cube 23cm - Ámbar",25990,true,"https://fumetas.cl/bonglab-bong-x2-colo-cube-23cm?variant=%C3%81mbar","-> prod 10288 (2t)"
95.7,31072,Astro Growshop,"Moledor Lite 63Mm- Calvo Glass - Naranjo",17990,false,"https://astrogrowshop.cl/moledor-lite-63mm-calvo-glass?variant=Naranjo",33668,Fumetas,"Moledor Calvo Lite Aluminio 63mm - Naranjo",17990,true,"https://fumetas.cl/moledor-calvo-lite-aluminio-63mm?variant=Naranjo","ambas huerfanas"
95.7,31650,Astro Growshop,"Handy Rig-Bonglab - azul",29990,true,"https://astrogrowshop.cl/handy-rig-bonglab?variant=azul",33930,Fumetas,"Bonglab Bong Handy Rig 14cm - Azul",30990,true,"https://fumetas.cl/bonglab-bong-handy-rig-14cm?variant=Azul","ambas huerfanas"
95.5,31652,Astro Growshop,"Handy Rig-Bonglab - Negro",29990,true,"https://astrogrowshop.cl/handy-rig-bonglab?variant=Negro",33927,Fumetas,"Bonglab Bong Handy Rig 14cm - Negro",30990,true,"https://fumetas.cl/bonglab-bong-handy-rig-14cm?variant=Negro","ambas huerfanas"
95.4,31665,Astro Growshop,"Jelly Drop-Bonglab - Rosa",27990,false,"https://astrogrowshop.cl/jelly-drop-bonglab?variant=Rosa",33844,Fumetas,"Bonglab Bong Jelly Drop 20cm - Rosado",29990,true,"https://fumetas.cl/bonglab-bong-jelly-drop-20cm-diferentes-colores?variant=Rosado","ambas huerfanas"
