score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.181;1;1.26;31370;30990;"Collector Con Candado 30Cm Smell Proof Camo-Dime Bags - Verde";10606;2;24504;"Dime Bags The Goodfella 17cm";"dime bags";"https://astrogrowshop.cl/collector-con-candado-30cm-smell-proof-dime-bags?variant=Verde"
0.181;1;1.37;18123;39990;"Pack Bong Bonglab Fat Candy";10344;3;54900;"Bonglab K30 Fresh 42cm";"bong bonglab";"https://astrogrowshop.cl/pack-bong-bonglab-fat-candy"
0.180;1;1.02;31367;24990;"Collector Con Candado 22Cm Smell Proof Camo-Dime Bags - Rojo";10606;2;24504;"Dime Bags The Goodfella 17cm";"dime bags";"https://astrogrowshop.cl/collector-con-candado-22cm-smell-proof-dime-bags?variant=Rojo"
0.180;1;1.26;31371;30990;"Collector Con Candado 30Cm Smell Proof Camo-Dime Bags - Rojo";10606;2;24504;"Dime Bags The Goodfella 17cm";"dime bags";"https://astrogrowshop.cl/collector-con-candado-30cm-smell-proof-dime-bags?variant=Rojo"
0.179;1;1.02;77215;24990;"Collector Con Candado 22Cm Smell Proof Camo-Dime Bags - RED";10606;2;24504;"Dime Bags The Goodfella 17cm";"dime bags";"https://astrogrowshop.cl/collector-con-candado-22cm-smell-proof-dime-bags?variant=RED"
0.178;1;1.26;77219;30990;"Collector Con Candado 30Cm Smell Proof Camo-Dime Bags - RED";10606;2;24504;"Dime Bags The Goodfella 17cm";"dime bags";"https://astrogrowshop.cl/collector-con-candado-30cm-smell-proof-dime-bags?variant=RED"
0.178;1;2.96;18126;69990;"Solid Valve Camara Llenado Para Liquidos + Almohadillas-Storz & Bickel";10602;2;23655;"Storz & Bickel Cargador para auto 12V Mighty";"storz bickel";"https://astrogrowshop.cl/solid-valve-camara-llenado-para-liquidos-almohadillas-storz-bickel"
0.175;1;3.41;731;4490;"ADAPTADOR PYREX HEMBRA A MACHO 18MM- Bonglab";10219;3;15300;"Bong Pyrex KM1 Prisma 10cm Clear Bonglab | Mini Bong de Vidrio";"pyrex bonglab";"https://astrogrowshop.cl/adaptador-pyrex-hembra-a-macho-18mm-bonglab"
0.175;1;1.96;31675;27990;"Lucky Goblin-Bonglab - Negro Humo";10344;3;54900;"Bonglab K30 Fresh 42cm";"bonglab negro";"https://astrogrowshop.cl/lucky-goblin-bonglab?variant=Negro%20Humo"
0.174;1;2.58;33352;8990;"Cap Strip -Calvo - Verde";5751;3;3490;"Calvo Glass Quemador Pyrex - Macho 14mm";"calvo verde";"https://astrogrowshop.cl/cap-strip-calvo?variant=Verde"
0.171;1;1.57;17984;62990;"Octopus Black-Bonglab";10407;3;99000;"Bonglab Bong Glycerin Black Ice";"black bonglab";"https://astrogrowshop.cl/octopus-black-bonglab"
0.170;1;1.11;33373;26990;"Tapa Kommuter -Pmg - CELESTE";6560;3;29993;"Unikorn Bong Celeste PieceMaker";"pmg celeste";"https://astrogrowshop.cl/tapa-kommuter-pmg?variant=CELESTE"
0.166;1;1.78;815;3490;"Gas Butano Ultra Refinado X5 Premium-Calvo Glass";10261;3;6200;"Calvo Glass Quemador Perlas - Macho 14mm";"calvo glass";"https://astrogrowshop.cl/gas-butano-ultra-refinado-x5-premium-calvo-glass"
0.165;1;6.99;12248;1000;"Encendedor Clipper Recargable Weed Rhyme – Diseño Surtido (Unidad)";10746;2;6990;"Encendedor Clipper Metálico Icy";"encendedor clipper";"https://astrogrowshop.cl/encendedor-clipper-recargable-weed-rhyme-diseno-surtido-unidad"
0.163;1;1.03;31675;27990;"Lucky Goblin-Bonglab - Negro Humo";11032;2;28800;"Bonglab Bong Pocket Twister 23cm Negro";"bonglab negro";"https://astrogrowshop.cl/lucky-goblin-bonglab?variant=Negro%20Humo"
0.163;1;1.43;815;3490;"Gas Butano Ultra Refinado X5 Premium-Calvo Glass";10323;3;4990;"Difusor Calvo Classic 18mm - 14mm - 14cm";"calvo glass";"https://astrogrowshop.cl/gas-butano-ultra-refinado-x5-premium-calvo-glass"
0.163;1;6.52;815;3490;"Gas Butano Ultra Refinado X5 Premium-Calvo Glass";10374;2;22743;"Calvo Glass Bong Essential 22cm";"calvo glass";"https://astrogrowshop.cl/gas-butano-ultra-refinado-x5-premium-calvo-glass"
0.624;0;1.17;32428;2990;"Quemador Bong Cuerno Macho 14Mm - Amarillo";5751;3;3490;"Calvo Glass Quemador Pyrex - Macho 14mm";"quemador bong cuerno macho 14mm amarillo";"https://astrogrowshop.cl/quemador-bong-cuerno-macho-14mm?variant=Amarillo"
0.597;0;1.17;32427;2990;"Quemador Bong Cuerno Macho 14Mm - verde";5751;3;3490;"Calvo Glass Quemador Pyrex - Macho 14mm";"quemador bong cuerno macho 14mm verde";"https://astrogrowshop.cl/quemador-bong-cuerno-macho-14mm?variant=verde"
0.544;0;0.00;2618;42990;"Filtro De Carbón Activado-Kasvi";11046;2;0;"OCB Boquillas Filtro de Carbón Activado 50 uds.";"filtro carbon activado";"https://astrogrowshop.cl/filtro-de-carbon-activado-kasvi"
0.543;0;2.07;32428;2990;"Quemador Bong Cuerno Macho 14Mm - Amarillo";10261;3;6200;"Calvo Glass Quemador Perlas - Macho 14mm";"quemador macho 14mm amarillo";"https://astrogrowshop.cl/quemador-bong-cuerno-macho-14mm?variant=Amarillo"
0.533;0;1.00;77826;990;"BULLDOG PAPELILLOS ECO HEMP CAÑAMO ORGANICO 1/14";10868;2;990;"RAW Organic Hemp 1 1/4";"papelillos hemp canamo organico";"https://astrogrowshop.cl/bulldog-papelillos-eco-hemp-canamo-organico-114"
0.533;0;1.14;12450;3990;"Quemador Bong Cuerno Macho 14Mm";5751;3;3490;"Calvo Glass Quemador Pyrex - Macho 14mm";"quemador bong cuerno macho 14mm";"https://astrogrowshop.cl/quemador-bong-cuerno-macho-14mm"
0.531;0;3.07;17950;1790;"Cenicero Portatil -Ozeta";10336;2;5490;"Cenicero Portátil RAW Catcher | PIRANHA";"cenicero portatil";"https://astrogrowshop.cl/cenicero-portatil-ozeta"
0.505;0;1.14;32431;3990;"Quemador Bong Cuerno Macho 14Mm - Rojo";5751;3;3490;"Calvo Glass Quemador Pyrex - Macho 14mm";"quemador bong cuerno macho 14mm";"https://astrogrowshop.cl/quemador-bong-cuerno-macho-14mm?variant=Rojo"
0.503;0;1.17;32432;2990;"Quemador Bong Cuerno Macho 14Mm - Rosa";5751;3;3490;"Calvo Glass Quemador Pyrex - Macho 14mm";"quemador bong cuerno macho 14mm";"https://astrogrowshop.cl/quemador-bong-cuerno-macho-14mm?variant=Rosa"
0.497;0;1.17;32430;2990;"Quemador Bong Cuerno Macho 14Mm - Naranjo";5751;3;3490;"Calvo Glass Quemador Pyrex - Macho 14mm";"quemador bong cuerno macho 14mm";"https://astrogrowshop.cl/quemador-bong-cuerno-macho-14mm?variant=Naranjo"
0.490;0;1.55;12519;3990;"Quemador Macho 14Mm";10261;3;6200;"Calvo Glass Quemador Perlas - Macho 14mm";"quemador macho 14mm";"https://astrogrowshop.cl/quemador-macho-14mm-1"
0.490;0;3.07;32948;1790;"Cenicero Portatil -Ozeta - Negro";10336;2;5490;"Cenicero Portátil RAW Catcher | PIRANHA";"cenicero portatil";"https://astrogrowshop.cl/cenicero-portatil-ozeta?variant=Negro"
0.483;0;3.07;79079;1790;"Cenicero Portatil -Ozeta - BLACK";10336;2;5490;"Cenicero Portátil RAW Catcher | PIRANHA";"cenicero portatil";"https://astrogrowshop.cl/cenicero-portatil-ozeta?variant=BLACK"
