dist,category,aId,aStore,aProd,aPrice,aTitle,bId,bStore,bProd,bPrice,bTitle
11,"Otros parafernalia",19514,2,10391,43990,"Ozeta Case XL - Anti-olor",32675,1,,43990,"CASE XL LOGO GRANDE NEGRO-OZETA"
11,"Otros parafernalia",32675,1,,43990,"CASE XL LOGO GRANDE NEGRO-OZETA",36119,2,,43990,"Ozeta Case XL - Anti-olor - Grande"
12,"Accesorios de extraccion",16209,3,,89271,"Hemper Puffco Popcorn Peak Top | PIRANHA",37829,2,,79990,"Hemper Pop Corn Puffco Peak Glass"
12,"Contenedores y estuches",11060,3,10573,23993,"Estuche Ywiwis Empanada - OZeta | PIRANHA",32843,1,,28990,"Bolso Ywiwis Antiolor-Ozeta - EMPANADA"
12,"Moledores",10791,3,6003,2990,"Grindercard Tarjeta Moledor Soulblime | PIRANHA",33629,2,,2990,"Soulblime Tarjeta Moledor - 420"
12,"Otros parafernalia",18030,1,,29990,"Gorro Pescador Textura White-Blazy Susan",34324,2,,24792,"Blazy Susan Gorro Bucket Fuzzy - Blanco"
12,"Repuestos para bongs y vaporizadores",15618,3,,29990,"Atrapaceniza Perc 18mm90º",34640,2,10718,29990,"Bonglab Atrapa cenizas Slits macho 18mm 90° - Verde"
12,"Repuestos para bongs y vaporizadores",33289,1,,18990,"Bateria Mystica Ace -Airistech - IVORY BLACK",39374,3,,19992,"Batería Mystica Ace - Airistech | PIRANHA"
13,"Conos y blunts",1973,2,5705,3790,"Blazy Susan Conos Pre-enrolados Pink 1 1/4 6 uds.",32180,1,,3990,"Conos Pre Roll 1 1/4 Pack 6U-Blazy Susan - ROSADO"
13,"Contenedores y estuches",2678,1,10292,21990,"Jar Ocean Tie Dye 4Oz-Bonglab Re: Stash",35296,2,,23990,"BongLab Contenedor Re:Stash 4oz - Ocean Tie Dye"
13,"Repuestos para bongs y vaporizadores",33293,1,,16990,"Bateria Mystica Max -Airistech - COCOA BROWN",38603,3,,16641,"Batería Airistech Mystica Max | PIRANHA"
14,"Bongs",31628,1,,22990,"Color Cube-Bonglab - verde",34677,2,,25990,"Bonglab Bong X2 Color Cube 23cm - Verde"
14,"Otros parafernalia",23990,1,,30990,"Button Smell Proof Green-Dime Bags",35707,2,,29990,"Dime Bags The Button Bandolera Con Clave Anti-Olor - Ve"
14,"Papelillos",16009,3,,1891,"Papelillo Bloody Strawberry King Size Lion Rolling Circ",37697,2,,2390,"LRC Papelillos Flavour Big Smoke - Sabores - Strawberry"
14,"Repuestos para bongs y vaporizadores",3369,3,5749,4990,"Quemador Bowl Chico Hembra Bonglab 14mm | PIRANHA",31287,1,,4990,"Quemador Bowl Chico Hembra 14Mm - Bonglab - Verde azula"
