offerId,store,title,top1_productId,top1_modelSlug,top1_stores,top1_sim,top1_brandKey,top1_tienda_ya_presente,top1_title,top2_productId,top2_modelSlug,top2_stores,top2_sim,top2_tienda_ya_presente,top3_productId,top3_modelSlug,top3_stores,top3_sim,top3_tienda_ya_presente
11538,growbarato,"Hemp Wraps Rolling Stones Lion Rolling Circus | Diferentes s",10567,hemp-wrap-electric-grape,2,0.385,lion-rolling-circus,no,"Blunt Hemp Wrap Terpenes Rolling Stones Electric G",10568,hemp-wrap-berry-gelato,2,0.385,lion-rolling-circus,no,"Blunt Hemp Wrap Terpenes Rolling Stones Berry Gela",10544,hemp-wrap-tangie,3,0.364,lion-rolling-circus,no,"Hemp Wrap Terpenes Tangie - Lion Rolling Circus"
11554,growbarato,"Dabber Espátula Lecron Acero Inoxidable | Herramienta para B",10445,rolling-tray-acero-inoxidable,2,0.154,blazy-susan,no,"Rolling Tray Acero Inoxidable -Blazy Susan",10445,rolling-tray-acero-inoxidable,2,0.143,blazy-susan,no,"Blazy Susan Bandeja Rolling Tray Acero Inoxidable",10445,rolling-tray-acero-inoxidable,2,0.143,blazy-susan,no,"Rolling Tray Acero Inoxidable -Blazy Susan - Morad"
11566,growbarato,"Quemador Bowl Macho - GB The Green Brand",5748,bowl-perlas-18mm,4,0.455,calvo,si,"Quemador Perla 18mm Calvo Glass - GB The Green Bra",6776,hitter,2,0.400,cabo,si,"Filter Hitter Cabo - GB The Green Brand",10145,rolling-machine-ecoplastic-king-size,5,0.400,raw,si,"Raw Enrolador King Size - GB The Green Brand"
12093,astrogrowshop,"Pipa Pyrex Phantomix 94- Top Smoke",10357,pyrex-havocrush,2,0.571,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,0.500,top-smoke,si,"Pipa Pyrex Havocrush 59- Top Smoke",10202,pocket,3,0.375,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA"
12195,astrogrowshop,"MALLAS FINAS VOLCANO/PLENTY 6U-STORZ &amp; BICKEL",10420,mallas-normales-plenty-6u,2,0.625,storz-bickel,si,"MALLAS NORMALES PARA VOLCANO/PLENTY 6U-STORZ &amp;",5759,screen-set-venty,3,0.200,storz-bickel,si,"Juego De Mallas Para Venty-Storz &amp; Bickel",5759,screen-set-venty,3,0.200,storz-bickel,si,"Storz &amp; Bickel Juego de Mallas Venty"
12298,astrogrowshop,"Contenedor Pyrex 5Ml Circular Black",10272,black-king-size-slim,3,0.125,raw,si,"Papelillos Black King Size Slim-Raw",10348,tips-black,3,0.125,raw,si,"Tips Black 1Ud-Raw",10520,billetera-black,3,0.125,ozeta,si,"Billetera Black - OZeta | PIRANHA"
12610,astrogrowshop,"Encendedor Classic Brick Logo - Zippo",10511,classic-flat-sand,2,0.571,zippo,si,"Encendedor Classic Flat Sand Logo - Zippo",10512,classic-red-matte,2,0.571,zippo,si,"Encendedor Classic Red Matte Logo - Zippo",10429,classic-orange-matte,2,0.429,zippo,no,"Encendedor Classic Orange Matte Zippo"
12611,astrogrowshop,"Encendedor Rosado Logo Rojo-Zippo",10511,classic-flat-sand,2,0.250,zippo,si,"Encendedor Classic Flat Sand Logo - Zippo",10512,classic-red-matte,2,0.250,zippo,si,"Encendedor Classic Red Matte Logo - Zippo",10582,classic-high-polish-blue,2,0.250,zippo,si,"Encendedor Hig Polish Blue Logo - Zippo"
12662,astrogrowshop,"Bolso Clip Black-Ozeta",10415,clip-mediano-black,3,0.750,ozeta,si,"Bolso Clip Mediano Black-Ozeta",10520,billetera-black,3,0.250,ozeta,si,"Billetera Black-Ozeta",10505,clip-pequeno,2,0.200,ozeta,no,"OZeta Clip Pequeño"
12680,astrogrowshop,"Double Dab Blue-Bonglab",10217,double-shot,2,0.200,bonglab,si,"Double Shot -Bonglab",10217,double-shot,2,0.167,bonglab,si,"Double Shot -Bonglab - verde",10217,double-shot,2,0.167,bonglab,si,"Double Shot -Bonglab - azul"
