productId,productName,category,brandKey,existingStores,query,score,state,hitTitle,hitUrl,hitPrice,refPrice,priceRatio,offerId,linkedProductId,hitImage
5816,Papelillos OCB Virgin 1 1/4,Papelillos,ocb,Fumetas | GrowBarato Chile | Piranha | Astro Growshop,1-1,0.75,vinculada-a-otro,Papelillos RAW® 1 1/4,https://www.kushbreak.cl/papelillos-raw-1-1/4-papers,1000,808,1.24,69349,5458,https://cdnx.jumpseller.com/kushbreak-growshop/image/2553269/resize/255/255?1679515206
5816,Papelillos OCB Virgin 1 1/4,Papelillos,ocb,Fumetas | GrowBarato Chile | Piranha | Astro Growshop,1-1,0.75,vinculada-a-otro,Papelillos Pure 1 1/4 Gizeh,https://www.kushbreak.cl/papelillos-pure-1-1/4-gizeh,590,808,1.37,69343,5478,https://cdnx.jumpseller.com/kushbreak-growshop/image/2588266/resize/255/255?1679515229
5817,Papel ultrafino OCB Ultimate 1.1/4 - GB The Green Brand,Papelillos,ocb,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,1-1,0.75,huerfana-existente,Khemo Silver 1 1/4,https://www.kushbreak.cl/khemo-silver-1-14-papelillos,800,908,1.14,69066,,https://cdnx.jumpseller.com/kushbreak-growshop/image/5530382/resize/255/255?1679515248
5817,Papel ultrafino OCB Ultimate 1.1/4 - GB The Green Brand,Papelillos,ocb,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,1-1,0.75,vinculada-a-otro,Papelillos RAW® 1 1/4,https://www.kushbreak.cl/papelillos-raw-1-1/4-papers,1000,908,1.1,69349,5458,https://cdnx.jumpseller.com/kushbreak-growshop/image/2553269/resize/255/255?1679515206
6008,Papelillos OCB Premium 1 1/4,Papelillos,ocb,Astro Growshop | Fumetas | Piranha | GrowBarato Chile,premium,0.75,huerfana-existente,Khemo Silver 1 1/4,https://www.kushbreak.cl/khemo-silver-1-14-papelillos,800,892,1.12,69066,,https://cdnx.jumpseller.com/kushbreak-growshop/image/5530382/resize/255/255?1679515248
6008,Papelillos OCB Premium 1 1/4,Papelillos,ocb,Astro Growshop | Fumetas | Piranha | GrowBarato Chile,1-1,0.75,vinculada-a-otro,Papelillos RAW® 1 1/4,https://www.kushbreak.cl/papelillos-raw-1-1/4-papers,1000,892,1.12,69349,5458,https://cdnx.jumpseller.com/kushbreak-growshop/image/2553269/resize/255/255?1679515206
10140,OCB Premium Slim King Size 32 hojas,Papelillos,ocb,Piranha | GrowBarato Chile | Astro Growshop | Fumetas,king-size,0.75,huerfana-existente,Papelillos King Size Futurola,https://www.kushbreak.cl/papelillos-king-size-futurola,1500,1618,1.08,69138,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2589117/resize/255/255?1679515230
10140,OCB Premium Slim King Size 32 hojas,Papelillos,ocb,Piranha | GrowBarato Chile | Astro Growshop | Fumetas,king-size,0.75,huerfana-existente,Papelillos Kingsize Slim Futurola,https://www.kushbreak.cl/papelillos-kingsize-slim-futurola,1500,1618,1.08,69214,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2589123/resize/255/255?1679515230
10146,Papelillo Slim Ultimate King Size- Ocb,Papelillos,ocb,GrowBarato Chile | Fumetas | Astro Growshop | Piranha,king-size,0.75,huerfana-existente,Papelillos King Size Futurola,https://www.kushbreak.cl/papelillos-king-size-futurola,1500,1568,1.05,69138,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2589117/resize/255/255?1679515230
10146,Papelillo Slim Ultimate King Size- Ocb,Papelillos,ocb,GrowBarato Chile | Fumetas | Astro Growshop | Piranha,king-size,0.75,url-no-scrapeada,Khemo Silver Kingsize,https://www.kushbreak.cl/khemo-silver-kingsize,800,1568,1.96,,,https://cdnx.jumpseller.com/kushbreak-growshop/image/47775583/resize/255/255?1713419422
