offerId;variante;conStock;precio;productIds;slugs;tiendas;tipo;arreglaFalsoSinStock;skuYaEnDestino;titulo;url
31311;ROSA/MULTICOLOR;si;9990;10333;zengaz/zt-70;2;unico-destino;si;no;Encendedor Torch Zt-70 - Zengaz - ROSA/MULTICOLOR;https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=ROSA%2FMULTICOLOR
77155;PINK-WHITE;no;9990;10333;zengaz/zt-70;2;unico-destino;no;no;Encendedor Torch Zt-70 - Zengaz - PINK-WHITE;https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=PINK-WHITE
77156;PINK-MULTICOLOR;no;9990;10333;zengaz/zt-70;2;unico-destino;no;no;Encendedor Torch Zt-70 - Zengaz - PINK-MULTICOLOR;https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=PINK-MULTICOLOR
31312;ANIMAL PRINT;no;9990;10333;zengaz/zt-70;2;unico-destino;no;no;Encendedor Torch Zt-70 - Zengaz - ANIMAL PRINT;https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=ANIMAL%20PRINT
77158;BLUE;no;9990;10333;zengaz/zt-70;2;unico-destino;no;no;Encendedor Torch Zt-70 - Zengaz - BLUE;https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=BLUE
31330;Rosa;no;6990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm -Bonglab - Rosa;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm-bonglab?variant=Rosa
31329;verde;no;6990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm -Bonglab - verde;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm-bonglab?variant=verde
31328;SMOKE;no;6990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;si-huerfana-mas-vieja-que-of2546;Quemador Honeycomb Macho 14Mm -Bonglab - SMOKE;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm-bonglab?variant=SMOKE
31331;Morado;no;6990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm -Bonglab - Morado;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm-bonglab?variant=Morado
31499;GOLDEN;si;4990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm - GOLDEN;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm?variant=GOLDEN
31496;azul;si;4990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;si-huerfana-mas-vieja-que-of2580;Quemador Honeycomb Macho 14Mm - azul;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm?variant=azul
31497;verde;no;4990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm - verde;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm?variant=verde
31503;Verde azulado;no;4990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm - Verde azulado;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm?variant=Verde%20azulado
31504;CLEAR;no;4990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm - CLEAR;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm?variant=CLEAR
31498;Azul oscuro;no;4990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm - Azul oscuro;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm?variant=Azul%20oscuro
31502;Rosa;si;4990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm - Rosa;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm?variant=Rosa
31505;SMOKEY GRAY;si;4990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm - SMOKEY GRAY;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm?variant=SMOKEY%20GRAY
31500;AMBAR;si;4990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm - AMBAR;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm?variant=AMBAR
31501;Morado;no;4990;5746;bonglab/bowl-honeycomb-14mm;4;unico-destino;no;no;Quemador Honeycomb Macho 14Mm - Morado;https://astrogrowshop.cl/quemador-honeycomb-macho-14mm?variant=Morado
31406;Negro;no;6990;6020;bonglab/bowl-14mm;3;unico-destino;no;no;Quemador Macho 14Mm -Bonglab - Negro;https://astrogrowshop.cl/quemador-macho-14mm-bonglab?variant=Negro
31404;MILK GREEN;no;6990;6020;bonglab/bowl-14mm;3;unico-destino;no;no;Quemador Macho 14Mm -Bonglab - MILK GREEN;https://astrogrowshop.cl/quemador-macho-14mm-bonglab?variant=MILK%20GREEN
31405;Rosa;no;5990;6020;bonglab/bowl-14mm;3;unico-destino;no;no;Quemador Macho 14Mm -Bonglab - Rosa;https://astrogrowshop.cl/quemador-macho-14mm-bonglab?variant=Rosa
31408;GENERICO;no;3990;6020;bonglab/bowl-14mm;3;unico-destino;no;no;Quemador Macho 14Mm -Bonglab - GENERICO;https://astrogrowshop.cl/quemador-macho-14mm-bonglab?variant=GENERICO
31450;Negro;no;23990;5529;bonglab/r3-mini;4;unico-destino;no;no;R3 Mini-Bonglab - Negro;https://astrogrowshop.cl/r3-mini-bonglab?variant=Negro
31446;verde;si;27990;5529;bonglab/r3-mini;4;unico-destino;no;si-huerfana-mas-vieja-que-of66;R3 Mini-Bonglab - verde;https://astrogrowshop.cl/r3-mini-bonglab?variant=verde
31448;Verde azulado;si;27990;5529;bonglab/r3-mini;4;unico-destino;no;no;R3 Mini-Bonglab - Verde azulado;https://astrogrowshop.cl/r3-mini-bonglab?variant=Verde%20azulado
31449;Ámbar;si;27990;5529;bonglab/r3-mini;4;unico-destino;no;no;R3 Mini-Bonglab - Ámbar;https://astrogrowshop.cl/r3-mini-bonglab?variant=%C3%81mbar
31447;azul;si;27990;5529;bonglab/r3-mini;4;unico-destino;no;no;R3 Mini-Bonglab - azul;https://astrogrowshop.cl/r3-mini-bonglab?variant=azul
31451;CLEAR;si;27990;5529;bonglab/r3-mini;4;unico-destino;no;no;R3 Mini-Bonglab - CLEAR;https://astrogrowshop.cl/r3-mini-bonglab?variant=CLEAR
31452;Rosa;no;27990;5529;bonglab/r3-mini;4;unico-destino;no;no;R3 Mini-Bonglab - Rosa;https://astrogrowshop.cl/r3-mini-bonglab?variant=Rosa
2618;;si;42990;10703|10725|10742|10829;kasvi/carbon-activado-100x300|kasvi/carbon-activado-125x400|kasvi/carbon-activado-150x400|kasvi/carbon-activado-315x1200;4|3|3|2;WILDCARD-necesita-juicio;si;no;Filtro De Carbón Activado-Kasvi;https://astrogrowshop.cl/filtro-de-carbon-activado-kasvi
31747;125X200 MM;no;42990;10703|10725|10742|10829;kasvi/carbon-activado-100x300|kasvi/carbon-activado-125x400|kasvi/carbon-activado-150x400|kasvi/carbon-activado-315x1200;4|3|3|2;WILDCARD-necesita-juicio;no;no;Filtro De Carbón Activado-Kasvi - 125X200 MM;https://astrogrowshop.cl/filtro-de-carbon-activado-kasvi?variant=125X200%20MM
31751;200X600 MM;no;165990;10703|10725|10742|10829;kasvi/carbon-activado-100x300|kasvi/carbon-activado-125x400|kasvi/carbon-activado-150x400|kasvi/carbon-activado-315x1200;4|3|3|2;WILDCARD-necesita-juicio;no;no;Filtro De Carbón Activado-Kasvi - 200X600 MM;https://astrogrowshop.cl/filtro-de-carbon-activado-kasvi?variant=200X600%20MM
31752;250X600 MM;si;217990;10703|10725|10742|10829;kasvi/carbon-activado-100x300|kasvi/carbon-activado-125x400|kasvi/carbon-activado-150x400|kasvi/carbon-activado-315x1200;4|3|3|2;WILDCARD-necesita-juicio;si;no;Filtro De Carbón Activado-Kasvi - 250X600 MM;https://astrogrowshop.cl/filtro-de-carbon-activado-kasvi?variant=250X600%20MM
31753;315X1000 MM;no;426990;10703|10725|10742|10829;kasvi/carbon-activado-100x300|kasvi/carbon-activado-125x400|kasvi/carbon-activado-150x400|kasvi/carbon-activado-315x1200;4|3|3|2;WILDCARD-necesita-juicio;no;no;Filtro De Carbón Activado-Kasvi - 315X1000 MM;https://astrogrowshop.cl/filtro-de-carbon-activado-kasvi?variant=315X1000%20MM
31467;Amarillo;si;2840;5733;galaxy/ashtray-ash-holder;2;unico-destino;no;no;CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY - Amarillo;https://astrogrowshop.cl/cenicero-ash-holder-glow-in-the-dark-galaxy?variant=Amarillo
31464;Rosa;si;2840;5733;galaxy/ashtray-ash-holder;2;unico-destino;no;no;CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY - Rosa;https://astrogrowshop.cl/cenicero-ash-holder-glow-in-the-dark-galaxy?variant=Rosa
31528;Negro;no;49990;5781;ozeta/bag-legbag-xl;3;unico-destino;no;si-huerfana-mas-vieja-que-of77389;Bolso Muslera Xl Con Clave -Ozeta - Negro;https://astrogrowshop.cl/bolso-muslera-xl-con-clave-ozeta?variant=Negro
31641;Negro;no;30990;5764;ozeta/case-antiolor-medium;3;unico-destino;no;si-huerfana-mas-vieja-que-of77547;Estuche Mediano -Ozeta - Negro;https://astrogrowshop.cl/estuche-mediano-ozeta?variant=Negro
31642;CYAN;no;27990;5764;ozeta/case-antiolor-medium;3;unico-destino;no;no;Estuche Mediano -Ozeta - CYAN;https://astrogrowshop.cl/estuche-mediano-ozeta?variant=CYAN
31640;Morado;no;27990;5764;ozeta/case-antiolor-medium;3;unico-destino;no;si-huerfana-mas-fresca-que-of17965;Estuche Mediano -Ozeta - Morado;https://astrogrowshop.cl/estuche-mediano-ozeta?variant=Morado
31643;Rosa;si;27990;5764;ozeta/case-antiolor-medium;3;unico-destino;si;no;Estuche Mediano -Ozeta - Rosa;https://astrogrowshop.cl/estuche-mediano-ozeta?variant=Rosa
77549;PINK;no;27990;5764;ozeta/case-antiolor-medium;3;unico-destino;no;no;Estuche Mediano -Ozeta - PINK;https://astrogrowshop.cl/estuche-mediano-ozeta?variant=PINK
31692;Negro;no;9990;10440;piecemaker/munchie-bowl;2;unico-destino;no;si-huerfana-mas-vieja-que-of77599;Munchie Bowl -Pmg - Negro;https://astrogrowshop.cl/munchie-bowl-pmg?variant=Negro
31696;Rojo;no;9990;10440;piecemaker/munchie-bowl;2;unico-destino;no;si-huerfana-mas-vieja-que-of77607;Munchie Bowl -Pmg - Rojo;https://astrogrowshop.cl/munchie-bowl-pmg?variant=Rojo
31693;Verde;no;11990;10440;piecemaker/munchie-bowl;2;unico-destino;no;si-huerfana-mas-vieja-que-of77600;Munchie Bowl -Pmg - Verde;https://astrogrowshop.cl/munchie-bowl-pmg?variant=Verde
31694;Naranjo;no;9990;10440;piecemaker/munchie-bowl;2;unico-destino;no;si-huerfana-mas-vieja-que-of77601;Munchie Bowl -Pmg - Naranjo;https://astrogrowshop.cl/munchie-bowl-pmg?variant=Naranjo
31695;Morado;no;9990;10440;piecemaker/munchie-bowl;2;unico-destino;no;si-huerfana-mas-vieja-que-of77602;Munchie Bowl -Pmg - Morado;https://astrogrowshop.cl/munchie-bowl-pmg?variant=Morado
31699;VERDE/ROJO;no;9990;10440;piecemaker/munchie-bowl;2;unico-destino;no;si-huerfana-mas-vieja-que-of77605;Munchie Bowl -Pmg - VERDE/ROJO;https://astrogrowshop.cl/munchie-bowl-pmg?variant=VERDE%2FROJO
31691;ROSADO;no;12990;10440;piecemaker/munchie-bowl;2;unico-destino;no;si-huerfana-mas-vieja-que-of77598;Munchie Bowl -Pmg - ROSADO;https://astrogrowshop.cl/munchie-bowl-pmg?variant=ROSADO
31697;CELESTE;no;9990;10440;piecemaker/munchie-bowl;2;unico-destino;no;si-huerfana-mas-vieja-que-of77603;Munchie Bowl -Pmg - CELESTE;https://astrogrowshop.cl/munchie-bowl-pmg?variant=CELESTE
32965;MANGO ICE;no;9990;10821|10836|10823|10822;life-pod/eco-pro-cartridge-8000-cherry-bomb|life-pod/eco-pro-cartridge-8000-triple-berry|life-pod/eco-pro-cartridge-8000-white-mocha-ice|life-pod/eco-pro-cartridge-8000-pear-ice;2|2|2|2;WILDCARD-necesita-juicio;no;no;Eco Pro Cartrige 8000 Puff 4,5%/45Mg - Life Pod - MANGO ICE;https://astrogrowshop.cl/eco-pro-cartrige-8000-puff-4545mg-life-pod?variant=MANGO%20ICE
32967;PASSION FRUIT ICE;no;9990;10821|10836|10823|10822;life-pod/eco-pro-cartridge-8000-cherry-bomb|life-pod/eco-pro-cartridge-8000-triple-berry|life-pod/eco-pro-cartridge-8000-white-mocha-ice|life-pod/eco-pro-cartridge-8000-pear-ice;2|2|2|2;WILDCARD-necesita-juicio;no;no;Eco Pro Cartrige 8000 Puff 4,5%/45Mg - Life Pod - PASSION FRUIT ICE;https://astrogrowshop.cl/eco-pro-cartrige-8000-puff-4545mg-life-pod?variant=PASSION%20FRUIT%20ICE
32974;STRAWBERRY BANANA;no;9990;10821|10836|10823|10822;life-pod/eco-pro-cartridge-8000-cherry-bomb|life-pod/eco-pro-cartridge-8000-triple-berry|life-pod/eco-pro-cartridge-8000-white-mocha-ice|life-pod/eco-pro-cartridge-8000-pear-ice;2|2|2|2;WILDCARD-necesita-juicio;no;no;Eco Pro Cartrige 8000 Puff 4,5%/45Mg - Life Pod - STRAWBERRY BANANA;https://astrogrowshop.cl/eco-pro-cartrige-8000-puff-4545mg-life-pod?variant=STRAWBERRY%20BANANA
