productId;tiendas;producto;slug;staleOfferId;variante;stalePrice;staleStock;twin;twinOfferId;twinPrice;mismoPrecio
5780;3;Ozeta Chestbag 4x4 con clave - Anti-olor;ozeta/bag-chestbag-4x4-4x4;31297;Rojo;44990;false;gemela-huerfana;77142;44990;true
5780;3;Ozeta Chestbag 4x4 con clave - Anti-olor;ozeta/bag-chestbag-4x4-4x4;31298;Negro;37990;true;gemela-huerfana;77141;37990;true
5780;3;Ozeta Chestbag 4x4 con clave - Anti-olor;ozeta/bag-chestbag-4x4-4x4;32116;Morado;36990;true;gemela-huerfana;78037;36990;true
5780;3;Ozeta Chestbag 4x4 con clave - Anti-olor;ozeta/bag-chestbag-4x4-4x4;32117;Rosa;36990;true;gemela-huerfana;78037;36990;true
5780;3;Ozeta Chestbag 4x4 con clave - Anti-olor;ozeta/bag-chestbag-4x4-4x4;32118;Rojo;36990;true;gemela-huerfana;78037;36990;true
5780;3;Ozeta Chestbag 4x4 con clave - Anti-olor;ozeta/bag-chestbag-4x4-4x4;32119;Negro;44990;false;gemela-huerfana;78039;44990;true
5781;3;Muslera XL c/clave;ozeta/bag-legbag-xl;31528;Negro;49990;false;gemela-huerfana;77389;49990;true
6774;3;Calvo Glass Pipa Hammer WigWag 13cm;calvo/hammer-wag-wig;31774;Negro;27990;false;gemela-huerfana;77427;27990;true
10246;3;Bonglab Limpiador Glass Cleaner 250 ml;bonglab/cleaner-250ml;31593;250 ml;6990;true;gemela-huerfana;77489;6990;true
10310;3;Special Blue Encendedor Soplete Mini Rubber 2.0;special-blue/mini-rubber-2-0;32147;Azul;2990;true;gemela-en-el-mismo-producto;32149;2990;true
10310;3;Special Blue Encendedor Soplete Mini Rubber 2.0;special-blue/mini-rubber-2-0;32150;Rojo;2990;true;gemela-en-el-mismo-producto;32149;2990;true
10310;3;Special Blue Encendedor Soplete Mini Rubber 2.0;special-blue/mini-rubber-2-0;32148;Verde;2990;true;gemela-en-el-mismo-producto;32149;2990;true
10316;3;BongLab AtrapaCenizas Triple HoneyComb - Macho 18mm;bonglab/atrapa-cenizas-triple-honeycomb-18mm;32108;Verde;22990;true;gemela-huerfana;78020;22990;true
10316;3;BongLab AtrapaCenizas Triple HoneyComb - Macho 18mm;bonglab/atrapa-cenizas-triple-honeycomb-18mm;32107;Azul;22990;true;gemela-huerfana;78020;22990;true
10316;3;BongLab AtrapaCenizas Triple HoneyComb - Macho 18mm;bonglab/atrapa-cenizas-triple-honeycomb-18mm;32109;Transparente;22990;true;gemela-huerfana;78020;22990;true
10441;3;DynaVap Soplete Honest;dynavap/honest-torch;31724;Transparente;10990;true;gemela-huerfana;91114;10990;true
10441;3;DynaVap Soplete Honest;dynavap/honest-torch;31725;Verde;10990;false;gemela-huerfana;91114;10990;true
10446;3;Calvo Glass Marble Set;calvo/marble-set;33318;Morado;9990;false;gemela-huerfana;79400;9990;true
10446;3;Calvo Glass Marble Set;calvo/marble-set;33320;Transparente;8990;true;gemela-huerfana;79401;8990;true
10446;3;Calvo Glass Marble Set;calvo/marble-set;33319;Negro;8990;false;gemela-huerfana;79401;8990;true
10446;3;Calvo Glass Marble Set;calvo/marble-set;33321;Rosa;9990;true;gemela-huerfana;79400;9990;true
10453;3;Calvo Glass Batería Cartridge 510;calvo/bateria-cartridge-510;32479;Negro;11990;false;gemela-huerfana;32478;11990;true
10453;3;Calvo Glass Batería Cartridge 510;calvo/bateria-cartridge-510;32481;Verde;11990;false;gemela-huerfana;32478;11990;true
10453;3;Calvo Glass Batería Cartridge 510;calvo/bateria-cartridge-510;32482;Morado;11990;true;gemela-huerfana;32478;11990;true
10497;3;Hightrip Pin Pizzannabica;hightrip/pin-pizzannabica;33427;PIZZANNABICA;7990;false;gemela-en-otro-producto;33424;7990;true
10664;3;Ignite Soplete X-Mini;ignite/x-mini;32896;Blanco;16990;false;gemela-en-el-mismo-producto;32902;16990;true
10664;3;Ignite Soplete X-Mini;ignite/x-mini;32897;Negro;16990;true;gemela-en-el-mismo-producto;32902;16990;true
10664;3;Ignite Soplete X-Mini;ignite/x-mini;32900;Rosa;16990;true;gemela-en-el-mismo-producto;32902;16990;true
10666;3;Ignite Soplete Flex;ignite/flex;33041;Negro;20990;true;gemela-huerfana;77639;20990;true
10666;3;Ignite Soplete Flex;ignite/flex;33040;Azul;21990;true;gemela-huerfana;77638;21990;true
10666;3;Ignite Soplete Flex;ignite/flex;33042;Blanco;21990;true;gemela-huerfana;77638;21990;true
10667;3;Ignite Soplete Phantom;ignite/phantom;33044;Negro;19990;true;gemela-huerfana;77644;19990;true
10667;3;Ignite Soplete Phantom;ignite/phantom;33045;Rojo;19990;false;gemela-huerfana;77644;19990;true
10680;3;Airistech Vaporizador Herbva Nokiva;airistech/herbva-nokiva;33397;Negro;69990;false;gemela-huerfana;92896;69990;true
10680;3;Airistech Vaporizador Herbva Nokiva;airistech/herbva-nokiva;33396;Blanco;69990;false;gemela-huerfana;92896;69990;true
10680;3;Airistech Vaporizador Herbva Nokiva;airistech/herbva-nokiva;33398;Rojo;69990;false;gemela-huerfana;92896;69990;true
10717;3;Bonglab Atrapa Cenizas Slits Macho 14mm 90°;bonglab/atrapa-cenizas-slits-14mm;32157;Negro;24990;true;gemela-huerfana;78081;24990;true
10717;3;Bonglab Atrapa Cenizas Slits Macho 14mm 90°;bonglab/atrapa-cenizas-slits-14mm;32156;Morado;24990;true;gemela-huerfana;78081;24990;true
10717;3;Bonglab Atrapa Cenizas Slits Macho 14mm 90°;bonglab/atrapa-cenizas-slits-14mm;32158;Transparente;24990;true;gemela-huerfana;78081;24990;true
10717;3;Bonglab Atrapa Cenizas Slits Macho 14mm 90°;bonglab/atrapa-cenizas-slits-14mm;32159;Verde;24990;true;gemela-huerfana;78081;24990;true
10717;3;Bonglab Atrapa Cenizas Slits Macho 14mm 90°;bonglab/atrapa-cenizas-slits-14mm;32160;Rosa;24990;true;gemela-huerfana;78081;24990;true
5733;2;CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY;galaxy/ashtray-ash-holder;31463;Rojo;2840;true;sin-gemela;;;false
5733;2;CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY;galaxy/ashtray-ash-holder;31465;Negro;2840;true;sin-gemela;;;false
5733;2;CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY;galaxy/ashtray-ash-holder;31462;Verde;2840;true;sin-gemela;;;false
5733;2;CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY;galaxy/ashtray-ash-holder;31466;Azul;2840;true;sin-gemela;;;false
10114;2;CABO Heavy Gear 20mm (Clear/Black) - CABO | PIRANHA;cabo/clear-gear-heavy;28670;Transparente;9990;true;gemela-huerfana;76819;9990;true
10152;2;Blazy Susan Conos Pre-enrolados King Size 50 uds.;blazy-susan/pre-roll-pink-king-size-50u;32182;Rosa;26990;true;gemela-huerfana;78124;26990;true
10232;2;Blazy Susan Conos Pre-enrolados Pink 98mm 50 uds.;blazy-susan/pre-roll-pink-98mm-50u;32322;Rosa;29990;false;gemela-huerfana;78335;29990;true
10242;2;Blazy Susan Filtros de carbón activado Xtra Slim 50 uds.;blazy-susan/carbon-slim-50u;32344;Morado;14990;false;gemela-huerfana;78364;14990;true
10242;2;Blazy Susan Filtros de carbón activado Xtra Slim 50 uds.;blazy-susan/carbon-slim-50u;32345;Rosa;14990;false;gemela-huerfana;78364;14990;true
10247;2;Bonglab Limpiador Glass Cleaner 500 ml;bonglab/cleaner-500ml;31594;500 ml;11990;true;gemela-huerfana;77490;11990;true
10301;2;Boquillas Carbón Activo Calvo Black 6mm 50 Uds.;calvo/carbon-activo-black-6mm-50u;32687;Rosa;9490;true;gemela-huerfana;78776;9490;true
10301;2;Boquillas Carbón Activo Calvo Black 6mm 50 Uds.;calvo/carbon-activo-black-6mm-50u;32686;Negro;9490;false;gemela-huerfana;78776;9490;true
10401;2;Difusor Bonglab Logo Negro 14mm 12cm;bonglab/difusor-negro-14mm-12cm;32198;12CM;3990;true;gemela-huerfana;78139;3790;false
