offerId;tienda;brandKey;titulo;precio;categoria;productosSinEstaTienda;ejemplosDestino;lastSeenAt;url
27471;piranha;g-pen;"Cargador USB G Pen";3775;Otros parafernalia;3;P10608:connect-glass-adapter-18mm(2t) P10609:roam-glass-tube(2t) P10684:mouthpiece-dash-dr-greenthumbs(2t);2026-07-27;https://piranha.cl/inicio/1622/g-pen-cargador-usb-grenco.html
27435;piranha;g-pen;"G Pen Elite Dock de Carga";15594;Otros parafernalia;3;P10608:connect-glass-adapter-18mm(2t) P10609:roam-glass-tube(2t) P10684:mouthpiece-dash-dr-greenthumbs(2t);2026-07-27;https://piranha.cl/inicio/1617/g-pen-elite-dock-de-carga.html
27406;piranha;g-pen;"Carcasa Silicona G Pen Elite";10995;Otros parafernalia;3;P10608:connect-glass-adapter-18mm(2t) P10609:roam-glass-tube(2t) P10684:mouthpiece-dash-dr-greenthumbs(2t);2026-07-27;https://piranha.cl/inicio/1620/carcasa-silicona-g-pen-elite.html
16192;piranha;hightrip;"HighTrip - Cannaleaf";8091;Otros parafernalia;3;P10444:pin-volvera-a-correr(2t) P10669:pin-la-germinacion(2t) P10872:pin-tattoo(2t);2026-07-27;https://piranha.cl/inicio/6033/pin-cannaleaf.html
15954;piranha;hightrip;"HighTrip - Colorea High / Vol.1";7992;Otros parafernalia;3;P10444:pin-volvera-a-correr(2t) P10669:pin-la-germinacion(2t) P10872:pin-tattoo(2t);2026-07-27;https://piranha.cl/inicio/6045/libro-colorea-high-vol1.html
15988;piranha;hightrip;"HighTrip - HighSkulls 1";8091;Otros parafernalia;3;P10444:pin-volvera-a-correr(2t) P10669:pin-la-germinacion(2t) P10872:pin-tattoo(2t);2026-07-27;https://piranha.cl/inicio/6035/pin-highskulls-1.html
16195;piranha;hightrip;"HighTrip - Clones";8091;Otros parafernalia;3;P10444:pin-volvera-a-correr(2t) P10669:pin-la-germinacion(2t) P10872:pin-tattoo(2t);2026-07-27;https://piranha.cl/inicio/6042/pin-clones.html
16191;piranha;hightrip;"HighTrip - Batazo";8091;Otros parafernalia;3;P10444:pin-volvera-a-correr(2t) P10669:pin-la-germinacion(2t) P10872:pin-tattoo(2t);2026-07-27;https://piranha.cl/inicio/6030/pin-batazo.html
53237;piranha;kasvi;"Bandeja de Cultivo Kasvi| PIRANHA";79992;Bandejas y ceniceros;9;P10779:malla-secado-55cm(2t) P10778:malla-scrog(2t) P10780:poleas-lighthanger-5kg(2t);2026-07-27;https://piranha.cl/inicio/8529/bandeja-de-cultivo-kasvi-122x129cm.html
53280;piranha;kasvi;"Kasvi Instruments Medidor pH/EC/TDS/Temp/Humedad | PIRANHA";87991;Otros parafernalia;9;P10779:malla-secado-55cm(2t) P10778:malla-scrog(2t) P10780:poleas-lighthanger-5kg(2t);2026-07-27;https://piranha.cl/inicio/8667/kasvi-instruments-medidor-5-en-1-continuo-inout-phectdstemphumedad.html
52580;piranha;kasvi;"Filtro de Carbón Activo 12'' (315x1000mm) Kasvi | PIRANHA";347791;Filtros y boquillas;9;P10779:malla-secado-55cm(2t) P10778:malla-scrog(2t) P10780:poleas-lighthanger-5kg(2t);2026-07-27;https://piranha.cl/inicio/8679/filtro-de-carbon-activo-industrial-kasvi-12-315x1000mm-3143-m3hr.html
53766;piranha;kasvi;"Bandeja Trimming Kasvi | PIRANHA";63992;Bandejas y ceniceros;9;P10779:malla-secado-55cm(2t) P10778:malla-scrog(2t) P10780:poleas-lighthanger-5kg(2t);2026-07-27;https://piranha.cl/inicio/8674/bandeja-trimming-kasvi.html
81010;piranha;kasvi;"Deshumidificador 60 L/D Kasvi | PIRANHA";854991;Otros parafernalia;9;P10779:malla-secado-55cm(2t) P10778:malla-scrog(2t) P10780:poleas-lighthanger-5kg(2t);2026-07-27;https://piranha.cl/inicio/8678/deshumidificador-60-ld-kasvi.html
53610;piranha;kasvi;"Kasvi Instruments Medidor Portátil de TDS y EC | PIRANHA";17091;Otros parafernalia;9;P10779:malla-secado-55cm(2t) P10778:malla-scrog(2t) P10780:poleas-lighthanger-5kg(2t);2026-07-27;https://piranha.cl/inicio/8669/kasvi-instruments-medidor-portatil-de-tds-y-ec.html
