offerId;precioOferta;productId;slug;tiendas;similitud;efecto;precioMedianoProducto;ratioPrecio;titulo
87659;29990;10312;puffco/hot-knife;4;0.417;SUMA-TIENDA;71990;2.40;Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Rojo
87660;29990;10312;puffco/hot-knife;4;0.417;SUMA-TIENDA;71990;2.40;Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Silver
87661;29990;10312;puffco/hot-knife;4;0.417;SUMA-TIENDA;71990;2.40;Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Negro
87661;29990;10493;yocan/dirk-hot-knife;2;0.364;SUMA-TIENDA;32990;1.10;Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Negro
88138;79990;10503;yocan/pocket;4;0.800;ya-tiene-tienda;94990;1.19;Vaporizador Extracciones Yocan Pocket - Rosa
88138;79990;10214;yocan/vaporizer-hit-2;3;0.500;SUMA-TIENDA;65990;1.21;Vaporizador Extracciones Yocan Pocket - Rosa
88138;79990;10521;yocan/kodo-pro;2;0.429;SUMA-TIENDA;14990;5.34;Vaporizador Extracciones Yocan Pocket - Rosa
88140;79990;10503;yocan/pocket;4;0.667;ya-tiene-tienda;94990;1.19;Vaporizador Extracciones Yocan Pocket - Azul
87530;54990;10214;yocan/vaporizer-hit-2;3;0.417;SUMA-TIENDA;65990;1.20;Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Azul Claro
87531;54990;10214;yocan/vaporizer-hit-2;3;0.455;SUMA-TIENDA;65990;1.20;Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Blanco
87532;54990;10214;yocan/vaporizer-hit-2;3;0.417;SUMA-TIENDA;65990;1.20;Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Verde Claro
87533;54990;10214;yocan/vaporizer-hit-2;3;0.455;SUMA-TIENDA;65990;1.20;Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Negro
87533;54990;10679;yocan/vaporizer-vane-2;2;0.364;SUMA-TIENDA;69990;1.27;Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Negro
87534;54990;10214;yocan/vaporizer-hit-2;3;0.455;SUMA-TIENDA;65990;1.20;Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Morado
87534;54990;10679;yocan/vaporizer-vane-2;2;0.364;SUMA-TIENDA;69990;1.27;Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Morado
87535;49990;10679;yocan/vaporizer-vane-2;2;0.444;SUMA-TIENDA;69990;1.40;Vaporizador De Hierbas Yocan Vane 100% Original Yocantech - Negro
87948;5990;10883;weecke/boquilla-fenix-2-0;2;0.556;ya-tiene-tienda;33990;5.67;Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit
87948;5990;10881;yocan/boquilla-vane;2;0.444;ya-tiene-tienda;9990;1.67;Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit
87948;5990;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;11.02;Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit
87561;9990;10883;weecke/boquilla-fenix-2-0;2;0.556;ya-tiene-tienda;33990;3.40;Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit 2
87561;9990;10881;yocan/boquilla-vane;2;0.444;ya-tiene-tienda;9990;1.00;Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit 2
87561;9990;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;6.61;Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit 2
88026;19990;10521;yocan/kodo-pro;2;0.455;SUMA-TIENDA;14990;1.33;Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Yellow
88026;19990;10548;yocan/flat;2;0.364;SUMA-TIENDA;9990;2.00;Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Yellow
88028;19990;10521;yocan/kodo-pro;2;0.417;SUMA-TIENDA;14990;1.33;Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Blue Gradient
88030;19990;10521;yocan/kodo-pro;2;0.455;SUMA-TIENDA;14990;1.33;Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Black
88030;19990;10548;yocan/flat;2;0.364;SUMA-TIENDA;9990;2.00;Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Black
87784;24990;10883;weecke/boquilla-fenix-2-0;2;0.556;ya-tiene-tienda;33990;1.36;Boquilla de Enfriamiento Vaporizador Herbal Airis Nokiva
87784;24990;10887;airistech/boquilla-nokiva;2;0.375;SUMA-TIENDA;5990;4.17;Boquilla de Enfriamiento Vaporizador Herbal Airis Nokiva
88413;10990;10493;yocan/dirk-hot-knife;2;0.667;SUMA-TIENDA;32990;3.00;Repuesto Hot Knife Yocan Dirk
88024;19990;10521;yocan/kodo-pro;2;0.455;SUMA-TIENDA;14990;1.33;Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Silver
88024;19990;10548;yocan/flat;2;0.364;SUMA-TIENDA;9990;2.00;Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Silver
88027;19990;10521;yocan/kodo-pro;2;0.385;SUMA-TIENDA;14990;1.33;Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Blue Purple Gradient
88136;79990;10503;yocan/pocket;4;0.800;ya-tiene-tienda;94990;1.19;Vaporizador Extracciones Yocan Pocket - Negro
88136;79990;10679;yocan/vaporizer-vane-2;2;0.500;SUMA-TIENDA;69990;1.14;Vaporizador Extracciones Yocan Pocket - Negro
88136;79990;10214;yocan/vaporizer-hit-2;3;0.500;SUMA-TIENDA;65990;1.21;Vaporizador Extracciones Yocan Pocket - Negro
88141;79990;10503;yocan/pocket;4;0.667;ya-tiene-tienda;94990;1.19;Vaporizador Extracciones Yocan Pocket - Blanco
88141;79990;10214;yocan/vaporizer-hit-2;3;0.500;SUMA-TIENDA;65990;1.21;Vaporizador Extracciones Yocan Pocket - Blanco
88141;79990;10521;yocan/kodo-pro;2;0.429;SUMA-TIENDA;14990;5.34;Vaporizador Extracciones Yocan Pocket - Blanco
88826;12000;10681;airistech/bateria-mystica-max;2;0.500;SUMA-TIENDA;16990;1.42;Vaporizador Bateria Airis Mystica Max Para Cartuchos - Lime Green
88828;12000;10681;airistech/bateria-mystica-max;2;0.500;SUMA-TIENDA;16990;1.42;Vaporizador Bateria Airis Mystica Max Para Cartuchos - Cocoa Brown
88833;249990;10679;yocan/vaporizer-vane-2;2;0.375;SUMA-TIENDA;69990;3.57;Vaporizador Extracciones E-rig Yocan Phaser Max - Negro
88833;249990;10503;yocan/pocket;4;0.375;ya-tiene-tienda;94990;2.63;Vaporizador Extracciones E-rig Yocan Phaser Max - Negro
88833;249990;10214;yocan/vaporizer-hit-2;3;0.375;SUMA-TIENDA;65990;3.79;Vaporizador Extracciones E-rig Yocan Phaser Max - Negro
88835;249990;10548;yocan/flat;2;0.375;SUMA-TIENDA;9990;25.02;Vaporizador Extracciones E-rig Yocan Phaser Max - Rojo
88914;27000;10503;yocan/pocket;4;0.500;ya-tiene-tienda;94990;3.52;Vaporizador Extracciones Yocan Nestor
88914;27000;10679;yocan/vaporizer-vane-2;2;0.400;SUMA-TIENDA;69990;2.59;Vaporizador Extracciones Yocan Nestor
88914;27000;10642;yocan/vaporizer-vane;2;0.400;SUMA-TIENDA;69990;2.59;Vaporizador Extracciones Yocan Nestor
