score,wouldBe,missingStore,category,productId,productName,seedTitle,seedPrice,offerId,offerTitle,offerPrice,offerUrl
0.69,3,fumetas,Conos y blunts,10544,"Blunt Hemp Wrap Lion Rolling Circus Terpenes Tangie","Blunt Wrap Terpenes Tangie - Lion Rolling Circus | PIRANHA",1386,37568,"LRC Blunt Hemp Wraps Terpenes x2 - Sabores - Tangie",1341,https://fumetas.cl/lrc-blunt-hemp-wraps-terpenes-sabor-gelato?variant=Tangie
0.69,3,fumetas,Conos y blunts,10567,"Blunt Hemp Wrap Lion Rolling Circus Rolling Stones Electric ","Blunt Hemp Wrap Terpenes Rolling Stones Electric Grape- Lion",1390,20102,"LRC Blunt Hemp Wrap x2 - Sabores",1290,https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos
0.69,3,fumetas,Conos y blunts,10567,"Blunt Hemp Wrap Lion Rolling Circus Rolling Stones Electric ","Blunt Hemp Wrap Terpenes Rolling Stones Electric Grape- Lion",1390,20229,"LRC Blunt Hemp Wraps Terpenes x2 - Sabores",1490,https://fumetas.cl/lrc-blunt-hemp-wraps-terpenes-sabor-gelato
0.69,3,fumetas,Conos y blunts,10568,"Blunt Hemp Wrap Lion Rolling Circus Rolling Stones Berry Gel","Blunt Hemp Wrap Terpenes Rolling Stones Berry Gelato- Lion R",1390,20102,"LRC Blunt Hemp Wrap x2 - Sabores",1290,https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos
0.69,3,fumetas,Conos y blunts,10568,"Blunt Hemp Wrap Lion Rolling Circus Rolling Stones Berry Gel","Blunt Hemp Wrap Terpenes Rolling Stones Berry Gelato- Lion R",1390,20229,"LRC Blunt Hemp Wraps Terpenes x2 - Sabores",1490,https://fumetas.cl/lrc-blunt-hemp-wraps-terpenes-sabor-gelato
0.69,3,fumetas,Conos y blunts,10568,"Blunt Hemp Wrap Lion Rolling Circus Rolling Stones Berry Gel","Blunt Hemp Wrap Terpenes Rolling Stones Berry Gelato- Lion R",1390,37203,"LRC Blunt Hemp Wrap x2 - Sabores - Chocolate",1161,https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos?variant=Chocolate
0.69,3,astrogrowshop,Repuestos para bongs y vaporizadores,10647,"Storz & Bickel Solid Valve Juego de Anillos en O","Storz &amp; Bickel Juego De Anillos En O",11690,819,"Juego De Filtros De Aire Volcano  Storz &amp; Bickel (2 Uni",11990,https://astrogrowshop.cl/juego-de-filtros-de-aire-volcano-storz-bickel-2-unid
0.69,3,astrogrowshop,Vaporizadores herbales,10650,"Storz & Bickel Veazy","Vaporizador Veazy Storz &amp; Bickel",279990,31614,"Vaporizador Veazy- Storz &amp; Bickel - Azul",279990,https://astrogrowshop.cl/vaporizador-veazy-storz-bickel?variant=Azul
0.69,3,astrogrowshop,Vaporizadores herbales,10650,"Storz & Bickel Veazy","Vaporizador Veazy Storz &amp; Bickel",279990,31615,"Vaporizador Veazy- Storz &amp; Bickel - Naranjo",279990,https://astrogrowshop.cl/vaporizador-veazy-storz-bickel?variant=Naranjo
0.69,3,astrogrowshop,Vaporizadores herbales,10650,"Storz & Bickel Veazy","Vaporizador Veazy Storz &amp; Bickel",279990,31616,"Vaporizador Veazy- Storz &amp; Bickel - Negro",279990,https://astrogrowshop.cl/vaporizador-veazy-storz-bickel?variant=Negro
0.69,3,fumetas,Conos y blunts,10654,"Lion Rolling Circus Hemp Wraps Terpenes Strawberry Shortcake","Blunt Wrap Terpenes Strawberry Shortcake - Lion Rolling Circ",1386,20102,"LRC Blunt Hemp Wrap x2 - Sabores",1290,https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos
0.68,3,fumetas,Bongs,10194,"Bong Space Opera Rig Ambar 22cm","Space Opera Rig Ambar-Calvo Glass",56990,13213,"Calvo G l a s s Bong Space Horn Rig 21cm",39990,https://fumetas.cl/calvo-glass-space-horn-rig-23cm
0.68,2,astrogrowshop,Contenedores y estuches,10552,"OZeta Estuche Flat con Clave Grande Anti-Olor","OZeta Estuche Flat con clave Grande - Anti Olor",27990,31636,"Estuche Grande -Ozeta - Morado",30990,https://astrogrowshop.cl/estuche-grande-ozeta?variant=Morado
0.68,2,astrogrowshop,Contenedores y estuches,10552,"OZeta Estuche Flat con Clave Grande Anti-Olor","OZeta Estuche Flat con clave Grande - Anti Olor",27990,31637,"Estuche Grande -Ozeta - Negro",36990,https://astrogrowshop.cl/estuche-grande-ozeta?variant=Negro
0.68,2,astrogrowshop,Contenedores y estuches,10552,"OZeta Estuche Flat con Clave Grande Anti-Olor","OZeta Estuche Flat con clave Grande - Anti Olor",27990,31638,"Estuche Grande -Ozeta - CYAN",30990,https://astrogrowshop.cl/estuche-grande-ozeta?variant=CYAN
0.68,2,astrogrowshop,Contenedores y estuches,10553,"OZeta Estuche Flat con Clave Mediano Anti-Olor","OZeta Estuche Flat con clave Mediano - Anti Olor",25990,31640,"Estuche Mediano -Ozeta - Morado",27990,https://astrogrowshop.cl/estuche-mediano-ozeta?variant=Morado
0.68,2,astrogrowshop,Contenedores y estuches,10553,"OZeta Estuche Flat con Clave Mediano Anti-Olor","OZeta Estuche Flat con clave Mediano - Anti Olor",25990,31641,"Estuche Mediano -Ozeta - Negro",29990,https://astrogrowshop.cl/estuche-mediano-ozeta?variant=Negro
0.68,2,astrogrowshop,Contenedores y estuches,10553,"OZeta Estuche Flat con Clave Mediano Anti-Olor","OZeta Estuche Flat con clave Mediano - Anti Olor",25990,31642,"Estuche Mediano -Ozeta - CYAN",27990,https://astrogrowshop.cl/estuche-mediano-ozeta?variant=CYAN
0.67,3,astrogrowshop,Repuestos para bongs y vaporizadores,10261,"Calvo Glass Quemador Perlas - Macho 14mm","Calvo Glass Quemador Perlas - Macho 14mm",6490,12380,"Quemador Pyrex Abeja Macho 14Mm",8490,https://astrogrowshop.cl/quemador-pyrex-abeja-14mm
0.67,3,astrogrowshop,Repuestos para bongs y vaporizadores,10261,"Calvo Glass Quemador Perlas - Macho 14mm","Calvo Glass Quemador Perlas - Macho 14mm",6490,32346,"Quemador Pyrex Abeja Macho 14Mm - GOLDEN",8490,https://astrogrowshop.cl/quemador-pyrex-abeja-14mm?variant=GOLDEN
0.67,3,astrogrowshop,Repuestos para bongs y vaporizadores,10261,"Calvo Glass Quemador Perlas - Macho 14mm","Calvo Glass Quemador Perlas - Macho 14mm",6490,32347,"Quemador Pyrex Abeja Macho 14Mm - AMBAR",8490,https://astrogrowshop.cl/quemador-pyrex-abeja-14mm?variant=AMBAR
0.65,2,astrogrowshop,Pipas,10114,"CABO Heavy Gear 20mm (Clear/Black) - CABO | PIRANHA","Cabo Pipa Heavy Gear Clear 20mm",11990,28670,"Heavy Gear -Cabo - Transparente",9990,https://astrogrowshop.cl/heavy-gear-cabo?variant=Transparente
0.65,3,growbarato,Accesorios de extraccion,10605,"Calvo Glass Clear Insert Banger","Insert Banger Clear-Calvo",4990,3140,"Insert Banger Calvo Cuarzo Transparente | 15mm y 20mm",5400,https://www.growbaratochile.cl/pipas-bongs-y-cachimbas/insert-banger-calvo-glass.html
0.64,4,fumetas,Repuestos para bongs y vaporizadores,10399,"Difusor Bonglab Logo Magenta 14mm 12cm","Difusor 14mm 12cm Bonglab | Repuesto de vidrio para bongs",3200,34005,"Difusor Bonglab 18mm-14mm - 14cm - Negro",3790,https://fumetas.cl/difusor-bonglab-18mm-14mm-14cm?variant=Negro
0.63,3,astrogrowshop,Accesorios de extraccion,10649,"Puffco Peak Pro","Puffco Peak Pro vaporizador",540000,17204,"New Peak Pro Dessert-Puffco",467490,https://astrogrowshop.cl/new-peak-pro-dessert-puffco
0.62,3,fumetas,Bongs,10108,"Bonglab Prisma","Prisma Clear-Bonglab",18990,19862,"Bonglab Polera Prisma",21990,https://fumetas.cl/bonglab-polera-prisma
0.62,3,fumetas,Bongs,10108,"Bonglab Prisma","Prisma Clear-Bonglab",18990,36717,"Bonglab Polera Prisma - XL",21990,https://fumetas.cl/bonglab-polera-prisma?variant=XL
0.62,3,fumetas,Bongs,10194,"Bong Space Opera Rig Ambar 22cm","Space Opera Rig Ambar-Calvo Glass",56990,34786,"Calvo G l a s s Bong Space Horn Rig 21cm - Amarillo",35991,https://fumetas.cl/calvo-glass-space-horn-rig-23cm?variant=Amarillo
0.62,3,fumetas,Bongs,10194,"Bong Space Opera Rig Ambar 22cm","Space Opera Rig Ambar-Calvo Glass",56990,34787,"Calvo G l a s s Bong Space Horn Rig 21cm - Azul",35991,https://fumetas.cl/calvo-glass-space-horn-rig-23cm?variant=Azul
