offerId;tienda;brandKey;titulo;precio;categoria;productosSinEstaTienda;candidatos;lastSeenAt;url
32317;astrogrowshop;bonglab;Classy-Bonglab - verde;41990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/classy-kd1-bonglab?variant=verde
32318;astrogrowshop;bonglab;Classy-Bonglab - Negro;41990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/classy-kd1-bonglab?variant=Negro
32319;astrogrowshop;bonglab;Classy-Bonglab - Ámbar;41990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/classy-kd1-bonglab?variant=%C3%81mbar
32320;astrogrowshop;bonglab;Classy-Bonglab - Morado;41990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/classy-kd1-bonglab?variant=Morado
32773;astrogrowshop;bonglab;K30 -Bonglab - Negro;61990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/k30-bonglab?variant=Negro
32774;astrogrowshop;bonglab;K30 -Bonglab - Morado;61990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/k30-bonglab?variant=Morado
32775;astrogrowshop;bonglab;K30 -Bonglab - Verde azulado;61990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/k30-bonglab?variant=Verde%20azulado
33013;astrogrowshop;bonglab;Mallas de Rosin 25/90/120/160 Micras-Bonglab - 160 micras;9990;Accesorios de extraccion;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/malla-rosin-bonglab?variant=160%20micras
33014;astrogrowshop;bonglab;Mallas de Rosin 25/90/120/160 Micras-Bonglab - 120 micras;8990;Accesorios de extraccion;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/malla-rosin-bonglab?variant=120%20micras
33015;astrogrowshop;bonglab;Mallas de Rosin 25/90/120/160 Micras-Bonglab - 90 micras;8990;Accesorios de extraccion;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/malla-rosin-bonglab?variant=90%20micras
33016;astrogrowshop;bonglab;Mallas de Rosin 25/90/120/160 Micras-Bonglab - 25 micras;8990;Accesorios de extraccion;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/malla-rosin-bonglab?variant=25%20micras
33135;astrogrowshop;bonglab;Glycerin -Bonglab - THICK PINK;109990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/glycerin-bonglab?variant=THICK%20PINK
33136;astrogrowshop;bonglab;Glycerin -Bonglab - THICC MINT;109990;Otros parafernalia;17;P5521:glycerin-thicc(3t sim=0.33 ratio=1.14);2026-07-27;https://astrogrowshop.cl/glycerin-bonglab?variant=THICC%20MINT
33137;astrogrowshop;bonglab;Glycerin -Bonglab - GREEN AVALANCHE;124990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/glycerin-bonglab?variant=GREEN%20AVALANCHE
33138;astrogrowshop;bonglab;Glycerin -Bonglab - THE YETI;109990;Otros parafernalia;17;P5526:glycerin-yeti(3t sim=0.38 ratio=1.05);2026-07-27;https://astrogrowshop.cl/glycerin-bonglab?variant=THE%20YETI
33841;fumetas;bonglab;Bonglab Bong Jelly Drop 20cm - Morado;29990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-jelly-drop-20cm-diferentes-colores?variant=Morado
33842;fumetas;bonglab;Bonglab Bong Jelly Drop 20cm - Azul;29990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-jelly-drop-20cm-diferentes-colores?variant=Azul
