brandKey;offerId;offerTitle;offerPrice;productId;productName;tiendasProducto;precioMinProducto;ratio;offerUrl
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10226;"Calvo Bong Dual Eye Rig 18cm";2;34990;3.5;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10313;"Calvo Glass Banger Full Weld Thin Slurper - Macho 14mm";2;18261;1.83;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;11011;"Calvo Terp Balls Luminosas 4mm";2;4500;2.22;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
futurola;69020;"Smoking Papelillos Deluxe 1 1/4 + Tips";1500;10187;"Futurola x Mike Tyson King Size + Tips";2;2990;1.99;"https://www.kushbreak.cl/smoking-papelillos-deluxe-tips"
futurola;69020;"Smoking Papelillos Deluxe 1 1/4 + Tips";1500;5710;"Futurola x Mike Tyson 3 Conos Pre-enrolados King Size";2;2290;1.53;"https://www.kushbreak.cl/smoking-papelillos-deluxe-tips"
futurola;69048;"Conos Mega x2 Futurola";8990;10187;"Futurola x Mike Tyson King Size + Tips";2;2990;3.01;"https://www.kushbreak.cl/conos-mega-x3-futurola-pre-enrolados"
futurola;69048;"Conos Mega x2 Futurola";8990;5710;"Futurola x Mike Tyson 3 Conos Pre-enrolados King Size";2;2290;3.93;"https://www.kushbreak.cl/conos-mega-x3-futurola-pre-enrolados"
futurola;69214;"Papelillos Kingsize Slim Futurola";1500;10187;"Futurola x Mike Tyson King Size + Tips";2;2990;1.99;"https://www.kushbreak.cl/papelillos-kingsize-slim-futurola"
futurola;69214;"Papelillos Kingsize Slim Futurola";1500;5710;"Futurola x Mike Tyson 3 Conos Pre-enrolados King Size";2;2290;1.53;"https://www.kushbreak.cl/papelillos-kingsize-slim-futurola"
g-pen;69248;"Grenco Science - G Pen Elite II Vaporizer";249990;10541;"Vaporizador G Pen Roam";3;179990;1.39;"https://www.kushbreak.cl/vaporizador-grenco-elite-gpen-ll-cannabis"
g-pen;69248;"Grenco Science - G Pen Elite II Vaporizer";249990;10608;"G Pen Connect Glass Adapter 18mm";2;9990;25.02;"https://www.kushbreak.cl/vaporizador-grenco-elite-gpen-ll-cannabis"
g-pen;69248;"Grenco Science - G Pen Elite II Vaporizer";249990;10609;"G Pen Roam Glass Tube";2;23990;10.42;"https://www.kushbreak.cl/vaporizador-grenco-elite-gpen-ll-cannabis"
g-pen;69248;"Grenco Science - G Pen Elite II Vaporizer";249990;10684;"G Pen Mouthpiece Dash Dr. Greenthumb's";2;13590;18.4;"https://www.kushbreak.cl/vaporizador-grenco-elite-gpen-ll-cannabis"
g-pen;69248;"Grenco Science - G Pen Elite II Vaporizer";249990;11044;"G Pen Silicone Mouthpiece Roam Black";2;10990;22.75;"https://www.kushbreak.cl/vaporizador-grenco-elite-gpen-ll-cannabis"
gizeh;68974;"Filtros Gizeh Carbon activo 8mm";1890;5478;"Papelillos Gizeh Pink 1 1/4 Extra Fine";3;790;2.39;"https://www.kushbreak.cl/filtros-gizeh-carbon-activo-8mm"
gizeh;68974;"Filtros Gizeh Carbon activo 8mm";1890;10347;"Gizeh Filtro Carbón Activo Coconut 6mm";2;2390;1.26;"https://www.kushbreak.cl/filtros-gizeh-carbon-activo-8mm"
gizeh;68974;"Filtros Gizeh Carbon activo 8mm";1890;10417;"Filtros Gizeh Slim Menthol 6mm 120u";2;1290;1.47;"https://www.kushbreak.cl/filtros-gizeh-carbon-activo-8mm"
