id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
5709,Tea Leaf Wraps Blazy Susan | PIRANHA,Conos y blunts,BLAZY SUSAN,blazy-susan,wrap-tea-leaf-2u,wrap-tea-leaf-2u,/productos/blazy-susan/wrap-tea-leaf-2u,3,3,Astro Growshop | Fumetas | Piranha,1490,1990,34,Astro Growshop,Fumetas,true,true,2026-05-09T05:58:00.391Z,Blazy Susan 2X Tea Wraps Unidad | Tea Leaf Wraps Blazy Susan | PIRANHA | Blazy Susan Blunt Natural Wraps x2 - Tea Leaf
5728,Clipper Gas Butano 16 ml,Encendedores y sopletes,Clipper,clipper,gas-classic-16ml,gas-classic-16ml,/productos/clipper/gas-classic-16ml,2,2,Astro Growshop | Fumetas,1590,1590,0,Astro Growshop,Astro Growshop,true,true,2026-05-18T06:49:35.974Z,Gas Butano De Bolsillo 16Ml-Clipper | Clipper Gas Butano 16 ml
5714,OCB 3 Conos Pre-enrolados King Size Virgin Slim,Conos y blunts,OCB,ocb,pre-roll-virgin-king-size-slim-3u,pre-roll-virgin-king-size-slim-3u,/productos/ocb/pre-roll-virgin-king-size-slim-3u,2,2,Fumetas | Piranha,1690,1990,18,Fumetas,Piranha,true,true,2026-05-09T05:57:37.235Z,OCB 3 Conos Pre-enrolados King Size Virgin Slim | Conos PreEnrolados OCB Virgin Ultra Fino Unbleached 109mm (3u)| PIRANHA
5474,OCB Premium 1.1/4 + Tips,Papelillos,OCB,ocb,paper-ocb-premium-1-1-4,premium-con-tips,/productos/ocb/premium-con-tips,2,2,Fumetas | GrowBarato Chile,1800,1890,5,GrowBarato Chile,Fumetas,true,true,2026-05-18T07:08:01.001Z,OCB Premium 1.1/4 + Tips | OCB Papelillos Premium 1 1/4 + Tips
5800,Mecha Zippo Original – Repuesto mecha para encendedor | Grow Barato Chile,Encendedores y sopletes,ZIPPO,zippo,wick-zippo-wick,wick,/productos/zippo/wick,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1800,2190,22,GrowBarato Chile,Astro Growshop,true,true,2026-05-18T06:45:18.772Z,Mecha Zippo Original – Repuesto mecha para encendedor | Grow Barato Chile | Mecha Zippo | Mecha 1 Unidad-Zippo | Zippo Mecha (1u)
5471,Papelillos OCB Cañamo Orgánico 1 1/4 + Tips,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,organic-con-tips,/productos/ocb/organic-con-tips,2,2,Fumetas | Piranha,1890,1990,5,Fumetas,Piranha,true,true,2026-05-18T06:55:39.139Z,Papelillos OCB Cañamo Orgánico 1 1/4 + Tips | Papelillo OCB Orgánico 1 ¼ + Boquilla
5711,Conos PreEnrolados RAW 1 1/4 (6u),Conos y blunts,RAW,raw,pre-roll-1-1-4-6u,pre-roll-1-1-4-6u,/productos/raw/pre-roll-1-1-4-6u,2,2,Fumetas | Piranha,1990,1990,0,Piranha,Piranha,true,true,2026-05-09T05:57:30.552Z,Conos PreEnrolados RAW 1 1/4 (6u) | Conos RAW Pre-enrolados 1 1/4 - 6 unidades
5708,Blazy Susan Blunt Rose Wraps x2,Conos y blunts,Blazy Susan,blazy-susan,wrap-rose-2u,wrap-rose-2u,/productos/blazy-susan/wrap-rose-2u,2,2,Fumetas | Piranha,2151,2990,39,Fumetas,Piranha,true,true,2026-05-18T06:49:24.334Z,Blazy Susan Blunt Rose Wraps x2 | Rose Wraps Blazy Susan (2u) | PIRANHA
5710,Futurola x Mike Tyson 3 Conos Pre-enrolados King Size,Conos y blunts,Futurola,futurola,pre-roll-mike-tyson-king-size-3u,pre-roll-mike-tyson-king-size-3u,/productos/futurola/pre-roll-mike-tyson-king-size-3u,2,2,Fumetas | Piranha,2290,2990,31,Fumetas,Piranha,true,true,2026-05-18T06:55:37.102Z,Futurola x Mike Tyson 3 Conos Pre-enrolados King Size | Cono Pre-Enrolado King Size Tyson x Futurola (3u) | PIRANHA
5818,Cajita Met�lica RAW para Pre-Enrolados 1 1/4,Contenedores y estuches,RAW,raw,contenedores-1-1-4-1-1-4,cajita-metalica-1-1-4,/productos/raw/cajita-metalica-1-1-4,5,3,Astro Growshop | Fumetas | Piranha,2490,14990,502,Piranha,Fumetas,true,true,2026-05-18T06:55:37.892Z,Cajita Metálica RAW para Pre-Enrolados (1 1/4/King Size) | PIRANHA | CAJITA METALICA PARA PREENROLADOS 1 1/4-RAW | Raw Cajita Metálica para Pre-Enrolados 1 1/4 | Set Cajita Metálica RAW Starter Box 1 1/4 | PIRANHA | Kit Cajita Metalica RAW Starter Box 1 1/4
5733,CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY,Bandejas y ceniceros,GALAXY,galaxy,ashtray-ash-holder,ashtray-ash-holder,/productos/galaxy/ashtray-ash-holder,2,2,Astro Growshop | Fumetas,2490,2990,20,Astro Growshop,Fumetas,true,true,2026-05-18T06:45:56.284Z,CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY | Cenicero Galaxy Ash Holder
5707,Conos Pre-Enrolados Blazy Susan 1 1/4 6u Purple | PIRANHA,Conos y blunts,BLAZY SUSAN,blazy-susan,pre-roll-purple-1-1-4-6u,pre-roll-purple-1-1-4-6u,/productos/blazy-susan/pre-roll-purple-1-1-4-6u,2,2,Fumetas | Piranha,2990,3411,14,Piranha,Fumetas,true,true,2026-05-18T06:55:36.682Z,Conos Pre-Enrolados Blazy Susan 1 1/4 6u Purple | PIRANHA | Blazy Susan Conos Pre-enrolados Purple 1 1/4 6 uds.
