rank,id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
27,5522,Bong Mad Professor de Bonglab - GB The Green Brand,Bongs,BONGLAB,bonglab,mad-professor,mad-professor,/productos/bonglab/mad-professor,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,54000,64990,20,GrowBarato Chile,Fumetas,true,true,2026-05-18T06:55:45.765Z,Bong Mad Professor de Bonglab - GB The Green Brand | Mad Professor - Bonglab | Bong Mad Professor | Bonglab Bong Mad Professor 42cm
28,5519,Bong Big Blow,Bongs,BONGLAB,bonglab,big-blow,big-blow,/productos/bonglab/big-blow,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,56942,66990,18,Piranha,Fumetas,true,true,2026-05-18T06:45:40.634Z,Bong Big Blow | Bong de vidrio Big Blow de Bonglab- GB The Green Brand | Big Blow-Bonglab | Bonglab Bong Pyrex K41 Big Blow 46cm
29,5339,Bong Bubbler Kush,Bongs,BONGLAB,bonglab,bubbler-kush,bubbler-kush,/productos/bonglab/bubbler-kush,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,60291,87990,46,Piranha,Fumetas,true,true,2026-05-18T06:45:41.688Z,Bong Bubbler Kush | Bong de vidrio Bubbler Kush de Bonglab- GB The Green Brand | Bubbler Kush-Bonglab | Bonglab K275 Bubbler Kush 50cm
30,5737,Vaporizador Mecánico Dynavap M7,Vaporizadores herbales,Dynavap,dynavap,m7,m7,/productos/dynavap/m7,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,89990,102800,14,Fumetas,GrowBarato Chile,true,true,2026-05-18T07:08:06.700Z,Vaporizador Mecánico Dynavap M7 | Vaporizador The New M7-Dynavap | Vaporizador DynaVap New The M 7 | PIRANHA | Vaporizador DynaVap The M7 | Vaporizador Herbal sin Batería – GrowBaratoChile
31,5716,Tips Original De Carton 1 Ud-Raw,Filtros y boquillas,RAW,raw,paper-tip-classic,paper-tip-classic,/productos/raw/paper-tip-classic,3,3,Astro Growshop | Fumetas | Piranha,340,400,18,Astro Growshop,Fumetas,true,true,2026-05-09T06:26:57.031Z,Tips Original De Carton 1 Ud-Raw | Filtro Tips RAW Original | PIRANHA | Boquillas RAW Classic
32,10067,Papelillo Pink 1 1/4 1Und-Blazy Susan,Papelillos,BLAZY SUSAN,blazy-susan,1-1-4,pink,/productos/blazy-susan/pink,3,3,Astro Growshop | Fumetas | Piranha,490,790,61,Astro Growshop,Piranha,true,true,2026-06-02T23:51:29.605Z,Papelillo Pink 1 1/4 1Und-Blazy Susan | Blazy Susan Papelillos Pink 1 1/4 | Papelillo 1 1/4 Blazy Susan Pink | PIRANHA
33,5760,CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB,Contenedores y estuches,BONGLAB,bonglab,extract-container-extracts-4ml,extract-container-extracts-4ml,/productos/bonglab/extract-container-extracts-4ml,3,3,Astro Growshop | Fumetas | Piranha,2990,3590,20,Astro Growshop,Fumetas,true,true,2026-05-09T05:52:21.069Z,CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB | Contenedor Extracciónes 4mL (Tapa Blanca/Tapa Negra) - BongLab | PIRANHA | Bonglab Contenedor De Extractos 4ml
34,5709,Blazy Susan 2X Tea Wraps Unidad,Conos y blunts,BLAZY SUSAN,blazy-susan,wrap-tea-leaf-2u,wrap-tea-leaf-2u,/productos/blazy-susan/wrap-tea-leaf-2u,3,3,Astro Growshop | Fumetas | Piranha,1490,1990,34,Astro Growshop,Fumetas,true,true,2026-05-09T05:58:00.391Z,Blazy Susan 2X Tea Wraps Unidad | Tea Leaf Wraps Blazy Susan | PIRANHA | Blazy Susan Blunt Natural Wraps x2 - Tea Leaf
35,5724,Encendedor Jet Flame Jet Hippie World Clipper,Encendedores y sopletes,CLIPPER,clipper,torch-lighter-jet-flame,torch-lighter-jet-flame,/productos/clipper/torch-lighter-jet-flame,23,3,Astro Growshop | Fumetas | GrowBarato Chile,990,1592,61,Astro Growshop,Fumetas,true,true,2026-05-18T06:55:46.994Z,Encendedor Jet Flame Jet Good Vibes Only Clipper | Encendedor Jet Flame Jet Hippie World Clipper | Encendedor Jet Flame Con Tapa Modelos variados- Clipper | Encendedor Clipper Jet Flame Crystal Fluo – Unidad | Llama Jet | Encendedor Clipper Jet Flame Ink 4 Life | Encendedor Clipper Jet Flame Gradient 3 | Encendedor Clipper Jet Flame Psychodelic 2 | Encendedor Clipper Jet Flame Good Vibes Only | Encendedor Clipper Jet Flame Galactic Weed | Encendedor Clipper Jet Flame Head Bones | Encendedor Clipper Jet Flame Print Weed | Encendedor Clipper Jet Flame Rainbow Mush | Encendedor Clipper Jet Flame Rotten Burgers | Encendedor Clipper Jet Flame Shiny Assorted | Encendedor Clipper Jet Flame Skull Drinks | Encendedor Clipper Jet Flame Topo Expressions | Encendedor Clipper Jet Flame CozySkulls | Encendedor Clipper Jet Flame HippieWorld | Encendedor Clipper Jet Flame Mandaleaves | Encendedor Clipper Jet Flame Ravetrip | Encendedor Jet Flame Jet Galactic Weed Clipper | Encendedor Jet Flame Jet Horror Zoo Clipper | Encendedor Clipper Jet Flame Horror Zoo
36,5733,CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY,Bandejas y ceniceros,GALAXY,galaxy,ashtray-ash-holder,ashtray-ash-holder,/productos/galaxy/ashtray-ash-holder,2,2,Astro Growshop | Fumetas,2490,2990,20,Astro Growshop,Fumetas,true,true,2026-05-18T06:45:56.284Z,CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY | Cenicero Galaxy Ash Holder
